posteam,season,week,punt_net_yards,field_goal_make_pct,kick_return_avg,punt_return_avg
BUF,2022,13,44.666664,1.0,13.0,0.6666667
BUF,2022,14,37.375,1.0,13.333333,6.0
BUF,2022,15,43.0,1.0,10.857142,0.0
BUF,2022,16,48.416668,0.0,18.75,5.25
BUF,2022,18,40.166668,0.8529411764705882,47.0,1.5
BUF,2022,19,44.966667,1.0,8.0,2.8333333
BUF,2022,20,44.75,1.0,15.0,0.0
BUF,2023,1,46.0,1.0,0.0,1.0
BUF,2023,2,54.0,1.0,13.666667,0.0
BUF,2023,3,61.0,1.0,0.0,9.0
BUF,2023,4,46.5,1.0,10.75,0.0
BUF,2023,5,41.2,0.8020833333333334,0.0,1.8
BUF,2023,6,41.583332,0.0,0.0,0.75
BUF,2023,7,51.5,0.5,8.285714,3.5
BUF,2023,8,36.833332,1.0,2.25,8.166667
BUF,2023,9,42.333332,1.0,8.8,0.0
BUF,2023,10,41.666668,0.8020833333333334,3.8,3.0
BUF,2023,11,28.833334,1.0,0.0,5.8333335
BUF,2023,12,35.35,0.5,3.5714285,7.4
BUF,2023,14,42.25,1.0,5.75,4.25
BUF,2023,15,41.1,1.0,9.333333,6.4
BUF,2023,16,49.5,1.0,2.4285715,2.75
BUF,2023,17,43.666668,1.0,10.5,4.5
BUF,2023,18,21.8,0.8020833333333334,0.0,19.2
BUF,2023,19,48.0,0.3333333333333333,4.75,0.0
BUF,2023,20,39.5,0.5,4.5,0.0
BUF,2024,1,39.0,1.0,10.6,3.5
BUF,2024,2,49.666668,0.5,8.333333,0.0
BUF,2024,3,28.5,1.0,10.666667,20.5
BUF,2024,4,46.666668,0.5,0.0,1.5
BUF,2024,5,49.125,1.0,6.5,1.0
BUF,2024,6,53.0,0.5,6.0,0.0
BUF,2024,7,28.2,1.0,9.0,11.2
BUF,2024,8,40.25,1.0,13.666667,8.75
BUF,2024,9,20.0,1.0,0.0,29.0
BUF,2024,10,50.5,1.0,9.8,4.0
BUF,2024,11,28.0,1.0,5.75,14.0
BUF,2024,13,40.666668,0.0,14.333333,6.0
BUF,2024,14,33.666668,0.8508771929824562,4.25,0.0
BUF,2024,15,44.333332,0.6666666666666666,6.3333335,6.6666665
BUF,2024,16,42.75,1.0,15.333333,0.0
BUF,2024,17,35.0,1.0,19.25,10.666667
BUF,2024,18,40.75,1.0,13.833333,0.0
BUF,2024,19,37.5,1.0,29.5,7.5
BUF,2024,20,50.0,1.0,5.0,6.699123
BUF,2024,21,47.5,1.0,4.6666665,3.0
BUF,2025,1,39.5,1.0,27.571428,0.0
BUF,2025,2,40.190475,1.0,23.5,3.142857
BUF,2025,3,43.75,0.5,23.75,3.75
BUF,2025,4,39.5,1.0,23.75,2.0
BUF,2025,5,35.0,1.0,25.4,0.0
BUF,2025,6,40.25,0.9166666666666666,22.8,5.25
BUF,2025,8,45.166668,1.0,14.666667,3.5
CAR,2022,1,47.5,1.0,5.0,2.5
CAR,2022,2,39.0,1.0,12.5,3.4
CAR,2022,3,43.166664,1.0,27.0,3.6666667
CAR,2022,4,42.916668,1.0,10.333333,9.333333
CAR,2022,5,51.333332,0.75,28.571428,0.0
CAR,2022,6,49.314285,1.0,4.8,2.4
CAR,2022,7,51.42857,0.961111111111111,0.0,0.0
CAR,2022,8,35.5,0.6666666666666666,0.0,11.5
CAR,2022,9,52.333332,0.961111111111111,13.714286,1.6666666
CAR,2022,10,43.2,1.0,3.0,0.0
CAR,2022,11,44.595238,1.0,2.6666667,-0.42857143
CAR,2022,12,44.714287,1.0,0.0,6.285714
CAR,2022,14,49.5,1.0,6.0,4.0
CAR,2022,15,48.5,1.0,12.0,0.0
CAR,2022,16,36.25,1.0,15.333333,2.75
CAR,2022,17,49.0,1.0,6.0,1.2
CAR,2022,18,46.43333,1.0,9.0,0.4
CAR,2023,1,51.2,1.0,0.0,2.0
CAR,2023,2,44.8,1.0,0.0,3.0
CAR,2023,3,50.7,0.6666666666666666,4.111111,-1.5
CAR,2023,4,37.05,1.0,6.0,8.75
CAR,2023,5,36.5,1.0,10.714286,1.5
CAR,2023,6,42.0,0.0,4.428571,5.25
CAR,2023,8,48.75,1.0,35.666668,2.0
CAR,2023,9,37.1,1.0,7.6666665,6.4
CAR,2023,10,32.166664,0.6666666666666666,6.75,13.166667
CAR,2023,11,43.733334,1.0,4.142857,4.6666665
CAR,2023,12,45.714287,1.0,23.666666,1.2857143
CAR,2023,13,42.125,1.0,0.0,3.75
CAR,2023,14,42.8,0.6666666666666666,7.4,0.2
CAR,2023,15,47.0,1.0,0.0,0.0
CAR,2023,16,50.333332,1.0,16.285715,0.0
CAR,2023,17,46.5,0.8125,0.0,3.0
CAR,2023,18,32.5,0.0,13.0,8.5
CAR,2024,1,38.2,1.0,23.2,0.0
CAR,2024,2,40.095238,1.0,16.2,4.3333335
CAR,2024,3,37.65,1.0,18.333334,6.6
CAR,2024,4,45.666668,1.0,0.0,5.3333335
CAR,2024,5,46.5,0.5,14.428572,5.0
CAR,2024,6,28.0,1.0,11.125,12.0
CAR,2024,7,50.4,0.8642857142857142,14.777778,0.0
CAR,2024,8,49.4,0.8642857142857142,0.0,0.0
CAR,2024,9,37.2,1.0,8.833333,6.0
CAR,2024,10,44.342857,1.0,12.75,3.8
