posteam,season,week,avg_plays_per_drive,total_drives
CLE,2025,6,9.11111111111111,9
CLE,2025,7,5.9,10
CLE,2025,8,4.833333333333333,12
DAL,2022,1,6.9,10
DAL,2022,2,6.5,10
DAL,2022,3,6.7,10
DAL,2022,4,5.153846153846154,13
DAL,2022,5,5.363636363636363,11
DAL,2022,6,6.8,10
DAL,2022,7,6.3,10
DAL,2022,8,6.333333333333333,9
DAL,2022,10,6.461538461538462,13
DAL,2022,11,7.6,10
DAL,2022,12,7.777777777777778,9
DAL,2022,13,5.75,12
DAL,2022,14,6.818181818181818,11
DAL,2022,15,6.666666666666667,12
DAL,2022,16,7.5,10
DAL,2022,17,7.181818181818182,11
DAL,2022,18,5.066666666666666,15
DAL,2022,19,7.888888888888889,9
DAL,2022,20,6.6,10
DAL,2023,1,6.666666666666667,9
DAL,2023,2,8.0,11
DAL,2023,3,10.0,8
DAL,2023,4,7.0,10
DAL,2023,5,4.153846153846154,13
DAL,2023,6,7.222222222222222,9
DAL,2023,8,7.111111111111111,9
DAL,2023,9,8.11111111111111,9
DAL,2023,10,6.5,12
DAL,2023,11,7.777777777777778,9
DAL,2023,12,6.111111111111111,9
DAL,2023,13,9.11111111111111,9
DAL,2023,14,8.777777777777779,9
DAL,2023,15,7.875,8
DAL,2023,16,8.125,8
DAL,2023,17,6.090909090909091,11
DAL,2023,18,8.0,9
DAL,2023,19,8.545454545454545,11
DAL,2024,1,5.3076923076923075,13
DAL,2024,2,7.0,10
DAL,2024,3,7.090909090909091,11
DAL,2024,4,7.0,8
DAL,2024,5,8.777777777777779,9
DAL,2024,6,6.363636363636363,11
DAL,2024,8,5.7272727272727275,11
DAL,2024,9,7.181818181818182,11
DAL,2024,10,4.923076923076923,13
DAL,2024,11,6.916666666666667,12
DAL,2024,12,5.461538461538462,13
DAL,2024,13,6.636363636363637,11
DAL,2024,14,6.5,10
DAL,2024,15,6.7272727272727275,11
DAL,2024,16,5.636363636363637,11
DAL,2024,17,6.5,10
DAL,2024,18,8.3,10
DAL,2025,1,7.375,8
DAL,2025,2,6.5,14
DAL,2025,3,7.2,10
DAL,2025,4,7.2,10
DAL,2025,5,5.636363636363637,11
DAL,2025,6,7.125,8
DAL,2025,7,5.5,12
DAL,2025,8,6.7272727272727275,11
DEN,2022,1,8.625,8
DEN,2022,2,7.2,10
DEN,2022,3,6.153846153846154,13
DEN,2022,4,4.909090909090909,11
DEN,2022,5,6.5,12
DEN,2022,6,5.909090909090909,11
DEN,2022,7,6.916666666666667,12
DEN,2022,8,5.5,12
DEN,2022,10,6.833333333333333,12
DEN,2022,11,7.0,10
DEN,2022,12,5.076923076923077,13
DEN,2022,13,5.7272727272727275,11
DEN,2022,14,5.846153846153846,13
DEN,2022,15,6.0,12
DEN,2022,16,6.6,10
DEN,2022,17,6.0,12
DEN,2022,18,5.666666666666667,12
DEN,2023,1,10.166666666666666,6
DEN,2023,2,6.090909090909091,11
DEN,2023,3,5.076923076923077,13
DEN,2023,4,6.5,8
DEN,2023,5,5.25,12
DEN,2023,6,5.5,10
DEN,2023,7,6.888888888888889,9
DEN,2023,8,6.454545454545454,11
DEN,2023,10,6.5,12
DEN,2023,11,6.1,10
DEN,2023,12,5.909090909090909,11
DEN,2023,13,5.416666666666667,12
DEN,2023,14,5.916666666666667,12
DEN,2023,15,6.7,10
DEN,2023,16,5.285714285714286,14
DEN,2023,17,7.4,10
DEN,2023,18,7.0,9
DEN,2024,1,5.333333333333333,15
DEN,2024,2,5.818181818181818,11
DEN,2024,3,6.9,10
DEN,2024,4,5.333333333333333,12
DEN,2024,5,5.636363636363637,11
DEN,2024,6,6.0,10
DEN,2024,7,6.6,10
DEN,2024,8,6.7272727272727275,11
DEN,2024,9,7.777777777777778,9
DEN,2024,10,6.888888888888889,9
DEN,2024,11,7.111111111111111,9
DEN,2024,12,6.7272727272727275,11
DEN,2024,13,5.5,12
DEN,2024,15,4.642857142857143,14
DEN,2024,16,7.0,10
DEN,2024,17,6.5,10
DEN,2024,18,9.25,8
DEN,2024,19,5.875,8
DEN,2025,1,6.166666666666667,12
DEN,2025,2,6.444444444444445,9
DEN,2025,3,5.090909090909091,11
DEN,2025,4,8.1,10
DEN,2025,5,7.2727272727272725,11
DEN,2025,6,6.3,10
DEN,2025,7,6.461538461538462,13
DEN,2025,8,5.9,10
DET,2022,1,6.9,10
DET,2022,2,5.076923076923077,13
DET,2022,3,6.75,12
DET,2022,4,6.454545454545454,11
DET,2022,5,7.222222222222222,9
DET,2022,7,5.545454545454546,11
DET,2022,8,7.625,8
DET,2022,9,7.5,8
DET,2022,10,6.3,10
DET,2022,11,6.0,11
DET,2022,12,8.0,9
DET,2022,13,9.5,8
DET,2022,14,7.4,10
DET,2022,15,8.11111111111111,9
DET,2022,16,6.7,10
DET,2022,17,6.545454545454546,11
DET,2022,18,6.6,10
DET,2023,1,6.454545454545454,11
DET,2023,2,6.0,11
DET,2023,3,6.2727272727272725,11
DET,2023,4,6.5,12
DET,2023,5,5.9,10
DET,2023,6,6.818181818181818,11
DET,2023,7,7.7,10
DET,2023,8,7.083333333333333,12
DET,2023,10,6.4,10
DET,2023,11,6.777777777777778,9
DET,2023,12,7.363636363636363,11
DET,2023,13,5.166666666666667,12
DET,2023,14,6.090909090909091,11
DET,2023,15,6.8,10
DET,2023,16,7.9,10
DET,2023,17,6.454545454545454,11
DET,2023,18,5.636363636363637,11
DET,2023,19,7.0,8
DET,2023,20,7.3,10
DET,2023,21,7.5,10
DET,2024,1,6.090909090909091,11
DET,2024,2,7.909090909090909,11
DET,2024,3,6.454545454545454,11
DET,2024,4,5.1,10
DET,2024,6,6.181818181818182,11
DET,2024,7,5.363636363636363,11
DET,2024,8,4.076923076923077,13
DET,2024,9,7.125,8
DET,2024,10,4.928571428571429,14
DET,2024,11,8.333333333333334,9
DET,2024,12,7.6,10
DET,2024,13,8.333333333333334,9
DET,2024,14,8.0,10
DET,2024,15,7.181818181818182,11
DET,2024,16,6.8,10
DET,2024,17,8.625,8
DET,2024,18,6.2727272727272725,11
DET,2024,20,6.090909090909091,11
DET,2025,1,8.625,8
DET,2025,2,5.25,12
DET,2025,3,7.0,10
DET,2025,4,4.6923076923076925,13
DET,2025,5,5.333333333333333,12
DET,2025,6,7.125,8
DET,2025,7,5.538461538461538,13
GB,2022,1,6.3,10
GB,2022,2,7.666666666666667,9
GB,2022,3,6.090909090909091,11
GB,2022,4,5.571428571428571,14
GB,2022,5,7.333333333333333,9
GB,2022,6,5.923076923076923,13
GB,2022,7,5.1,10
GB,2022,8,7.444444444444445,9
GB,2022,9,8.875,8
GB,2022,10,6.0,11
GB,2022,11,6.5,10
GB,2022,12,5.2,10
