posteam,season,week,red_zone_trips,red_zone_trips_per_game,red_zone_td_pct,red_zone_fg_pct
DAL,2023,2,6,6.0,0.3333333333333333,1.0
DAL,2023,3,5,5.0,0.2,1.0
DAL,2023,4,5,5.0,0.4,1.0
DAL,2023,5,2,2.0,0.5,1.0
DAL,2023,6,4,4.0,0.5,1.0
DAL,2023,8,6,6.0,0.6666666666666666,1.0
DAL,2023,9,5,5.0,0.6,1.0
DAL,2023,10,8,8.0,0.875,1.0
DAL,2023,11,5,5.0,0.6,1.0
DAL,2023,12,5,5.0,1.0,1.0
DAL,2023,13,8,8.0,0.5,1.0
DAL,2023,14,3,3.0,1.0,1.0
DAL,2023,15,2,2.0,0.5,1.0
DAL,2023,16,4,4.0,0.5,1.0
DAL,2023,17,3,3.0,0.6666666666666666,1.0
DAL,2023,18,7,7.0,0.7142857142857143,1.0
DAL,2023,19,5,5.0,0.8,1.0
DAL,2024,1,3,3.0,0.6666666666666666,1.0
DAL,2024,2,4,4.0,0.25,1.0
DAL,2024,3,4,4.0,0.75,1.0
DAL,2024,4,1,1.0,1.0,1.0
DAL,2024,5,6,6.0,0.3333333333333333,1.0
DAL,2024,6,3,3.0,0.0,1.0
DAL,2024,8,4,4.0,0.75,1.0
DAL,2024,9,3,3.0,0.6666666666666666,1.0
DAL,2024,10,2,2.0,0.0,1.0
DAL,2024,11,2,2.0,0.5,1.0
DAL,2024,12,5,5.0,0.8,1.0
DAL,2024,13,4,4.0,0.5,1.0
DAL,2024,14,4,4.0,0.5,1.0
DAL,2024,15,5,5.0,0.6,1.0
DAL,2024,16,2,2.0,1.0,1.0
DAL,2024,17,2,2.0,0.5,1.0
DAL,2024,18,6,6.0,0.16666666666666666,1.0
DAL,2025,1,3,3.0,0.6666666666666666,1.0
DAL,2025,2,4,4.0,1.0,1.0
DAL,2025,3,4,4.0,0.25,1.0
DAL,2025,4,6,6.0,0.8333333333333334,1.0
DAL,2025,5,6,6.0,0.8333333333333334,1.0
DAL,2025,6,5,5.0,0.6,1.0
DAL,2025,7,5,5.0,0.8,1.0
DAL,2025,8,5,5.0,0.6,1.0
DEN,2022,1,5,5.0,0.2,1.0
DEN,2022,2,3,3.0,0.3333333333333333,1.0
DEN,2022,3,2,2.0,0.5,1.0
DEN,2022,4,4,4.0,0.75,1.0
DEN,2022,5,4,4.0,0.0,1.0
DEN,2022,6,2,2.0,0.5,1.0
DEN,2022,7,2,2.0,0.5,1.0
DEN,2022,8,3,3.0,1.0,1.0
