posteam,season,red_zone_trips_per_game,red_zone_td_pct,red_zone_fg_pct
PHI,2024,5.0476190476190474,0.656235827664399,1.0
PHI,2025,3.5,0.8541666666666666,1.0
PIT,2022,3.176470588235294,0.5598039215686273,1.0
PIT,2023,3.0,0.6006613756613757,1.0
PIT,2024,3.6666666666666665,0.5888888888888889,1.0
PIT,2025,3.75,0.7875,1.0
SEA,2022,4.277777777777778,0.5564814814814816,1.0
SEA,2023,3.764705882352941,0.4820728291316526,1.0
SEA,2024,3.4705882352941178,0.6715686274509803,1.0
SEA,2025,4.25,0.70625,1.0
SF,2022,4.6,0.633452380952381,1.0
SF,2023,4.75,0.7314285714285714,1.0
SF,2024,4.25,0.6072916666666667,1.0
SF,2025,3.5555555555555554,0.6499999999999999,1.0
TB,2022,3.5,0.5166666666666667,1.0
TB,2023,3.736842105263158,0.5903508771929825,1.0
