team,season,week,off_pr_allowed,dropbacks,pressures_allowed,def_pr_created,opp_dropbacks,pressures_created
LAC,2025,8,0.22857142857142856,35,8,0.21621621621621623,37,8
MIA,2025,8,0.06451612903225806,31,2,0.12121212121212122,33,4
MIN,2025,8,0.21621621621621623,37,8,0.22857142857142856,35,8
NE,2025,8,0.21621621621621623,37,8,0.05,40,2
NO,2025,8,0.11475409836065574,61,7,0.1111111111111111,27,3
NYG,2025,8,0.1875,32,6,0.1724137931034483,29,5
NYJ,2025,8,0.02631578947368421,38,1,0.05405405405405406,37,2
PHI,2025,8,0.1724137931034483,29,5,0.1875,32,6
PIT,2025,8,0.1111111111111111,45,5,0.13157894736842105,38,5
SF,2025,8,0.15789473684210525,38,6,0.044444444444444446,45,2
TB,2025,8,0.1111111111111111,27,3,0.11475409836065574,61,7
TEN,2025,8,0.13043478260869565,46,6,0.17142857142857143,35,6
WAS,2025,8,0.1111111111111111,36,4,0.16666666666666666,42,7
ARI,2025,9,0.2894736842105263,38,11,0.1836734693877551,49,9
ATL,2025,9,0.09523809523809523,42,4,0.175,40,7
BAL,2025,9,0.14814814814814814,27,4,0.06818181818181818,44,3
BUF,2025,9,0.16129032258064516,31,5,0.35,40,14
CAR,2025,9,0.08,25,2,0.15789473684210525,38,6
CHI,2025,9,0.14893617021276595,47,7,0.09433962264150944,53,5
CIN,2025,9,0.09433962264150944,53,5,0.14893617021276595,47,7
DAL,2025,9,0.1836734693877551,49,9,0.2894736842105263,38,11
DEN,2025,9,0.0975609756097561,41,4,0.125,48,6
DET,2025,9,0.2558139534883721,43,11,0.2727272727272727,33,9
GB,2025,9,0.15789473684210525,38,6,0.08,25,2
HOU,2025,9,0.125,48,6,0.0975609756097561,41,4
IND,2025,9,0.15254237288135594,59,9,0.075,40,3
JAX,2025,9,0.04878048780487805,41,2,0.06521739130434782,46,3
KC,2025,9,0.35,40,14,0.16129032258064516,31,5
LA,2025,9,0.1111111111111111,36,4,0.07692307692307693,26,2
LAC,2025,9,0.2564102564102564,39,10,0.18518518518518517,27,5
LV,2025,9,0.06521739130434782,46,3,0.04878048780487805,41,2
MIA,2025,9,0.06818181818181818,44,3,0.14814814814814814,27,4
MIN,2025,9,0.2727272727272727,33,9,0.2558139534883721,43,11
NE,2025,9,0.175,40,7,0.09523809523809523,42,4
NO,2025,9,0.07692307692307693,26,2,0.1111111111111111,36,4
NYG,2025,9,0.07692307692307693,39,3,0.10714285714285714,28,3
PIT,2025,9,0.075,40,3,0.15254237288135594,59,9
SEA,2025,9,0.037037037037037035,27,1,0.13157894736842105,38,5
SF,2025,9,0.10714285714285714,28,3,0.07692307692307693,39,3
TEN,2025,9,0.18518518518518517,27,5,0.2564102564102564,39,10
WAS,2025,9,0.13157894736842105,38,5,0.037037037037037035,27,1
