posteam,season,week,start_yardline_bucket,downs_prob,end_half_prob,fg_prob,punt_prob,td_prob,turnover_prob,total_drives
ATL,2022,13,opp_35,0.0,0.16666666666666666,0.3333333333333333,0.5,0.0,0.0,6
ATL,2022,15,opp_35,0.0,0.5,0.0,0.5,0.0,0.0,4
ATL,2022,15,own_10,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,3
ATL,2022,16,opp_35,0.2,0.0,0.4,0.2,0.0,0.2,5
ATL,2022,17,opp_35,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,6
ATL,2022,18,opp_35,0.0,0.0,0.4,0.6,0.0,0.0,5
ATL,2023,1,opp_35,0.0,0.0,0.0,1.0,0.0,0.0,3
ATL,2023,1,own_35,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
ATL,2023,1,own_20,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,3
ATL,2023,2,opp_35,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,6
ATL,2023,2,own_20,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,3
ATL,2023,3,opp_35,0.0,0.0,0.4,0.6,0.0,0.0,5
ATL,2023,3,own_10,0.0,0.25,0.0,0.5,0.0,0.25,4
ATL,2023,4,opp_35,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333,6
ATL,2023,4,own_10,0.0,0.0,0.0,0.75,0.25,0.0,4
ATL,2023,5,opp_35,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.16666666666666666,6
ATL,2023,5,own_20,0.0,0.25,0.25,0.5,0.0,0.0,4
ATL,2023,6,opp_35,0.2,0.2,0.2,0.2,0.0,0.2,5
ATL,2023,6,own_10,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,3
ATL,2023,7,opp_35,0.0,0.0,0.2,0.4,0.0,0.4,5
ATL,2023,8,opp_35,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,6
ATL,2023,8,own_10,0.16666666666666666,0.16666666666666666,0.0,0.5,0.0,0.16666666666666666,6
ATL,2023,9,opp_35,0.0,0.25,0.125,0.5,0.0,0.125,8
ATL,2023,10,opp_35,0.16666666666666666,0.5,0.0,0.3333333333333333,0.0,0.0,6
ATL,2023,12,opp_35,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,6
ATL,2023,13,opp_35,0.0,0.25,0.25,0.5,0.0,0.0,4
ATL,2023,13,own_20,0.0,0.0,0.0,1.0,0.0,0.0,3
