passer,season,completion_pct_clean,yards_per_att_clean,td_rate_clean,int_rate_clean,sack_rate_clean,scramble_rate_clean,epa_clean,completion_pct_pressure,yards_per_att_pressure,td_rate_pressure,int_rate_pressure,sack_rate_pressure,scramble_rate_pressure,epa_pressure,plays_clean,plays_pressure
B.Purdy,2023,0.6489247578004522,9.573722807314688,0.05954673935820637,0.027337595016709088,0.0,0.05629240538953021,0.38737956,0.28994708994708995,1.1637566137566138,0.0,0.011904761904761904,0.3544973544973545,0.0,-0.78985244,340.0,76.0
B.Purdy,2024,0.6494775541795667,8.97099494037381,0.04866844398578144,0.03009259259259259,0.0,0.08689155486756106,0.34936222,0.20317460317460315,-0.11527777777777777,0.0,0.08888888888888889,0.44087301587301586,0.0,-1.0808116,208.0,37.0
B.Rypien,2022,0.6413043478260869,5.760869565217391,0.021739130434782608,0.03364389233954451,0.0,0.011904761904761904,-0.042445034,0.4,3.9,0.0,0.0,0.4333333333333333,0.0,-0.59559524,65.0,16.0
B.Young,2023,0.5899273164809562,5.889539301484111,0.023830719924469924,0.015745036511165544,0.0,0.06083889519198074,0.016539305,0.15806051587301587,-2.6830605158730156,0.017361111111111112,0.010416666666666666,0.5473214285714285,0.0,-1.3326172,505.0,115.0
B.Young,2024,0.5485442720211627,6.341829495978656,0.0397843189334786,0.02202080327080327,0.0,0.10143882727916341,0.11946319,0.2059678416821274,0.5689084724799011,0.042857142857142864,0.03809523809523809,0.41859925788497215,0.0,-0.78838295,229.0,53.0
B.Zappe,2023,0.590259314787051,6.345929257593426,0.030954522738630686,0.046776611694152925,0.0,0.06007329668499084,-0.2021251,0.20833333333333334,-2.288333333333333,0.04,0.0,0.595,0.0,-1.1050175,138.0,35.0
C.Beathard,2023,0.6521739130434783,8.391304347826088,0.0,0.0,0.0,0.08695652173913043,0.503469,0.3333333333333333,-1.0,0.0,0.0,0.5,0.0,-0.67089766,23.0,6.0
C.Keenum,2023,0.6715686274509804,5.234313725490196,0.029411764705882353,0.048039215686274506,0.0,0.0,-0.30729124,0.1,-5.4,0.0,0.1,0.6,0.0,-1.3660096,49.0,10.0
C.McCoy,2022,0.6611414900888585,5.6183811802232855,0.007575757575757576,0.008333333333333333,0.0,0.06120984278879016,-0.006517481,0.26378968253968255,-0.23521825396825397,0.03125,0.08125,0.44226190476190474,0.0,-1.2582061,124.0,29.0
C.Rush,2022,0.6898148148148149,7.8842592592592595,0.018518518518518517,0.0,0.0,0.018518518518518517,0.14904235,0.27142857142857146,0.028571428571428692,0.0,0.0,0.3142857142857143,0.0,-0.7686807,39.0,12.0
C.Rush,2024,0.5548941798941799,6.266534391534391,0.04497354497354497,0.027116402116402115,0.0,0.027116402116402115,0.05036968,0.14285714285714285,-1.9285714285714286,0.07142857142857142,0.0,0.5714285714285714,0.0,-1.7907202,82.0,14.0
C.Stroud,2023,0.6102766363583377,8.365250007285656,0.04580298857609139,0.0,0.0,0.060228405315614617,0.27548984,0.12043650793650794,-2.782936507936508,0.0,0.0,0.49107142857142855,0.0,-1.2804035,269.0,53.0
C.Stroud,2024,0.5975901470662223,7.20624671691076,0.031720349644093114,0.02250957730762556,0.0,0.09247903916396452,0.15505889,0.21360544217687075,-0.15017006802721097,0.005952380952380952,0.005952380952380952,0.4850340136054422,0.0,-0.8161499,429.0,116.0
C.Tune,2023,0.5,3.909090909090909,0.0,0.045454545454545456,0.0,0.22727272727272727,-0.51664644,0.0,-4.1,0.0,0.1,0.7,0.0,-2.0986235,22.0,10.0
C.Wentz,2022,0.627498594851536,6.664849823085118,0.03032952738835092,0.03805543511425864,0.0,0.04819148025030378,0.10377381,0.1346969696969697,-2.0259848484848484,0.0,0.01818181818181818,0.4597727272727273,0.0,-1.247303,182.0,49.0
C.Wentz,2024,0.6153846153846154,5.384615384615385,0.0,0.0,0.0,0.0,-0.14233512,0.25,0.75,0.0,0.0,0.5,0.0,-0.86681265,13.0,8.0
C.Williams,2024,0.5682679830342746,6.387390941175582,0.025830448843361328,0.005957406886199456,0.0,0.09874515359375285,0.13057591,0.07232817687363141,-3.258354524263615,0.0,0.017355371900826446,0.6182630500812318,0.0,-1.3145381,400.0,89.0
D.Blough,2022,0.6234234234234234,4.808108108108108,0.013513513513513514,0.06666666666666667,0.0,0.02702702702702703,-0.2468566,0.6071428571428572,11.571428571428571,0.08333333333333333,0.0,0.39285714285714285,0.0,0.17464852,52.0,13.0
D.Carr,2022,0.5796641701077894,6.32507275872529,0.038555060267000854,0.03158447311271232,0.0,0.03826605577631569,0.1223544,0.3248299319727891,1.841326530612245,0.02040816326530612,0.028571428571428574,0.3899659863945578,0.0,-0.928093,225.0,43.0
D.Carr,2023,0.7022825229960111,7.002376014440063,0.03859722005560187,0.023267499330833975,0.0,0.01892022976262934,0.1730709,0.25357142857142856,0.3125000000000001,0.0,0.017857142857142856,0.40654761904761905,0.0,-0.87954676,234.0,49.0
