posteam,season,week,off_yards_per_play,off_yards_per_pass_attempt,def_yards_per_play_allowed,def_yards_per_pass_allowed
BUF,2022,19,5.9859157,6.7916665,3.3285713,3.7307692
BUF,2022,20,5.2419353,5.9148936,6.0735292,7.105263
BUF,2023,1,4.6865673,5.122449,5.7058825,4.730769
BUF,2023,2,6.2777777,6.8461537,6.1538463,7.44
BUF,2023,3,6.15873,7.542857,4.509804,3.6666667
BUF,2023,4,8.038462,10.931034,6.661017,6.142857
BUF,2023,5,7.203704,8.581395,5.8170733,6.574468
BUF,2023,6,5.0338984,5.625,4.464789,4.9761906
BUF,2023,7,5.1363635,5.9130435,6.5,8.393939
BUF,2023,8,6.3880596,7.3333335,4.870968,5.0625
BUF,2023,9,5.696429,6.2444444,6.25,7.6086955
BUF,2023,10,7.0,6.607143,4.4347825,5.5945945
BUF,2023,11,5.7246375,7.714286,2.8181818,2.675
BUF,2023,12,5.5604396,6.9649124,5.921875,6.2105265
BUF,2023,14,4.7,4.7291665,5.580645,6.0444446
BUF,2023,15,5.709677,5.368421,3.4210527,3.2439024
BUF,2023,16,6.4423075,10.173913,4.1538463,4.4615383
BUF,2023,17,4.287879,5.2647057,5.673077,7.290323
BUF,2023,18,6.3333335,8.8,5.7291665,6.0
BUF,2023,19,5.707692,7.3235292,5.225806,5.707317
BUF,2023,20,4.717949,5.326087,8.5348835,9.6
BUF,2024,1,6.1929827,8.5,4.55,5.0789475
BUF,2024,2,5.952381,7.1,4.68,5.2954545
BUF,2024,3,6.59322,8.542857,3.514706,2.8461537
BUF,2024,4,4.140351,4.5945945,7.9074073,7.8
BUF,2024,5,4.677966,5.142857,6.3432837,8.523809
BUF,2024,6,6.3508773,7.4,6.661017,7.1578946
BUF,2024,7,7.203704,9.2,4.378788,4.837209
BUF,2024,8,6.787879,7.756757,5.0869565,7.0
BUF,2024,9,5.5423727,6.02439,6.338983,7.6
BUF,2024,10,6.0289855,7.365854,5.9180326,6.1538463
BUF,2024,11,5.3333335,6.822222,4.980769,5.1714287
BUF,2024,13,7.075472,8.421053,5.195652,4.285714
BUF,2024,14,8.240741,10.195122,6.3472223,10.666667
BUF,2024,15,8.358209,10.513514,6.9466667,7.83871
BUF,2024,16,5.586207,5.2352943,5.5735292,6.675
BUF,2024,17,5.8166666,9.0,4.7966104,4.5384617
BUF,2024,18,3.9846153,4.151515,5.37931,7.4242425
BUF,2024,19,6.8,8.69697,5.3333335,6.642857
BUF,2024,20,4.8245616,5.478261,7.1896553,8.606061
BUF,2024,21,5.3428574,6.3157897,6.114754,7.885714
BUF,2025,1,6.5194807,7.703704,8.64,9.681818
BUF,2025,2,6.074627,7.483871,3.2765958,3.3225806
BUF,2025,3,6.3157897,7.0625,4.677966,4.4
BUF,2025,4,6.648148,8.0,4.5151515,4.3428574
BUF,2025,5,5.9508195,7.5641026,6.035714,7.75
BUF,2025,6,5.388889,5.852941,6.830769,6.857143
BUF,2025,8,6.8333335,6.6,4.1355934,4.09375
BUF,2025,9,6.428571,8.966666,5.293103,5.974359
CAR,2022,1,5.3469386,6.6875,4.9305553,4.0555553
CAR,2022,2,5.0925927,4.388889,3.9264705,4.372093
CAR,2022,3,4.983051,5.285714,6.65625,8.142858
CAR,2022,4,4.230769,4.6153846,5.0147057,6.1666665
CAR,2022,5,4.6666665,5.0833335,6.762712,7.625
CAR,2022,6,4.744186,4.7826085,5.9508195,7.3235292
CAR,2022,7,6.86,7.3913045,4.878788,5.4313726
CAR,2022,8,6.4864864,8.657895,6.1666665,7.83871
CAR,2022,9,4.75,5.483871,6.6714287,6.757576
CAR,2022,10,5.203125,5.9411764,4.9322033,5.361111
CAR,2022,11,3.7962964,4.6410255,4.753846,5.189189
CAR,2022,12,5.46875,8.3,4.3157897,3.325
CAR,2022,14,4.633803,4.785714,5.4150944,6.214286
CAR,2022,15,4.9761906,7.0740743,4.8656716,7.347826
CAR,2022,16,8.921875,11.363636,6.145161,7.630435
CAR,2022,17,6.779661,8.871795,6.4,8.26
CAR,2022,18,3.5,2.95,5.2413793,6.1923075
CAR,2023,1,3.9027777,3.5,4.7234044,4.1363635
CAR,2023,2,4.2280703,4.375,4.8591547,5.0487804
CAR,2023,3,5.04,5.548387,6.3382354,7.205128
CAR,2023,4,3.4117646,4.076923,6.0227275,6.1904764
CAR,2023,5,5.2615385,5.744186,6.6666665,7.266667
CAR,2023,6,4.352941,4.372093,6.903226,8.1875
CAR,2023,8,3.672131,4.825,4.017544,4.678571
CAR,2023,9,3.8732395,3.7083333,3.7222223,4.535714
CAR,2023,10,3.7368422,4.2727275,4.347826,4.783784
CAR,2023,11,3.2413793,2.1891892,4.830769,4.928571
CAR,2023,12,3.8507462,4.868421,5.4489794,6.571429
CAR,2023,13,4.0571427,4.257143,5.785714,6.4666667
CAR,2023,14,3.835443,3.2325583,4.18,4.0740743
CAR,2023,15,4.766667,5.928571,4.1,7.285714
CAR,2023,16,6.285714,8.0,5.857143,7.266667
CAR,2023,17,2.3396227,1.7692307,5.534483,6.448276
CAR,2023,18,3.98,4.0,3.7704918,3.3513513
CAR,2024,1,3.509091,3.7692308,6.112903,7.9615383
CAR,2024,2,3.4565217,2.586207,5.693548,6.2727275
CAR,2024,3,6.362319,7.65,5.55,6.347826
CAR,2024,4,5.4492755,5.3488374,6.016129,7.5625
CAR,2024,5,5.034483,4.4634147,6.3880596,9.166667
CAR,2024,6,5.403226,6.0,6.6153846,7.5
CAR,2024,7,4.3095236,4.2380953,6.9508195,8.0
CAR,2024,8,4.733333,5.3095236,5.661972,7.1666665
CAR,2024,9,5.0816326,5.9333334,5.693333,6.7647057
CAR,2024,10,5.275862,5.285714,4.830986,4.65
CAR,2024,12,5.6949153,6.725,5.75,6.0851064
CAR,2024,13,5.397059,6.12,5.881579,5.6153846
CAR,2024,14,4.4558825,5.219512,5.267857,4.821429
CAR,2024,15,4.7,5.0540543,6.0441175,6.862069
CAR,2024,16,6.140625,6.6060605,5.96875,5.3414636
CAR,2024,17,4.4347825,4.9428573,7.7887325,10.028571
CAR,2024,18,6.65625,7.5641026,6.974026,7.875
CAR,2025,1,4.266667,4.575,6.3333335,6.0
CAR,2025,2,4.525641,5.1864405,6.2765956,8.448276
CAR,2025,3,4.1666665,4.5185184,5.030303,4.6666665
CAR,2025,4,5.0153847,5.263158,6.866667,9.727273
CAR,2025,5,6.790323,5.5454545,4.6792455,5.85
