posteam,season,down,distance_bucket,score_diff_bucket,time_bucket,pass_count,run_count,total_plays,pass_rate,run_rate
TEN,2022,1.0,long,up_7-13,Q2-Q3,9.0,16.0,25,0.36,0.64
TEN,2022,2.0,long,tied,Q1-Q2,15.0,13.0,28,0.5357142857142857,0.4642857142857143
TEN,2023,1.0,long,down_7-13,Q2-Q3,14.0,14.0,28,0.5,0.5
TEN,2023,1.0,long,down_1-6,Q1-Q2,14.0,12.0,26,0.5384615384615384,0.46153846153846156
TEN,2023,1.0,long,down_1-6,Q4_late,9.0,16.0,25,0.36,0.64
TEN,2023,1.0,long,tied,Q1-Q2,29.0,27.0,56,0.5178571428571429,0.48214285714285715
TEN,2023,1.0,long,up_1-6,Q2-Q3,14.0,16.0,30,0.4666666666666667,0.5333333333333333
TEN,2023,2.0,long,tied,Q1-Q2,13.0,11.0,24,0.5416666666666666,0.4583333333333333
TEN,2024,1.0,long,down_14+,Q3-Q4,15.0,15.0,30,0.5,0.5
TEN,2024,1.0,long,down_14+,Q4_late,27.0,17.0,44,0.6136363636363636,0.38636363636363635
TEN,2024,1.0,long,down_7-13,Q1-Q2,10.0,16.0,26,0.38461538461538464,0.6153846153846154
TEN,2024,1.0,long,down_7-13,Q3-Q4,11.0,16.0,27,0.4074074074074074,0.5925925925925926
TEN,2024,1.0,long,tied,Q1-Q2,11.0,42.0,53,0.20754716981132076,0.7924528301886793
TEN,2024,1.0,long,up_1-6,Q2-Q3,23.0,21.0,44,0.5227272727272727,0.4772727272727273
TEN,2024,2.0,long,up_1-6,Q2-Q3,16.0,6.0,22,0.7272727272727273,0.2727272727272727
TEN,2025,1.0,long,down_14+,Q4_late,31.0,5.0,36,0.8611111111111112,0.1388888888888889
TEN,2025,1.0,long,down_7-13,Q2-Q3,15.0,10.0,25,0.6,0.4
WAS,2022,1.0,long,down_14+,Q4_late,27.0,4.0,31,0.8709677419354839,0.12903225806451613
WAS,2022,1.0,long,down_7-13,Q2-Q3,13.0,13.0,26,0.5,0.5
WAS,2022,1.0,long,down_7-13,Q4_late,17.0,9.0,26,0.6538461538461539,0.34615384615384615
WAS,2022,1.0,long,down_1-6,Q2-Q3,14.0,23.0,37,0.3783783783783784,0.6216216216216216
WAS,2022,1.0,long,down_1-6,Q3-Q4,14.0,9.0,23,0.6086956521739131,0.391304347826087
WAS,2022,1.0,long,tied,Q1-Q2,11.0,23.0,34,0.3235294117647059,0.6764705882352942
WAS,2022,1.0,long,up_1-6,Q1-Q2,6.0,16.0,22,0.2727272727272727,0.7272727272727273
WAS,2022,1.0,long,up_1-6,Q3-Q4,10.0,22.0,32,0.3125,0.6875
