passer,season,week,completion_pct_clean,completion_pct_pressure,epa_clean,epa_pressure,int_rate_clean,int_rate_pressure,plays_clean,plays_pressure,sack_rate_clean,sack_rate_pressure,scramble_rate_clean,scramble_rate_pressure,td_rate_clean,td_rate_pressure,yards_per_att_clean,yards_per_att_pressure
B.Mayfield,2023,11,0.6511627906976745,0.14285714285714285,0.19496249,-2.4260347,0.0,0.14285714285714285,43.0,7.0,0.0,0.5714285714285714,0.023255813953488372,0.0,0.023255813953488372,0.0,5.627906976744186,-2.5714285714285716
B.Mayfield,2023,12,0.6333333333333333,0.14285714285714285,0.13516589,-1.3242625,0.03333333333333333,0.0,30.0,7.0,0.0,0.8571428571428571,0.03333333333333333,0.0,0.06666666666666667,0.0,6.3,-0.2857142857142857
B.Mayfield,2023,15,0.7857142857142857,0.0,1.2106917,-2.086554,0.0,0.0,28.0,5.0,0.0,1.0,0.0,0.0,0.14285714285714285,0.0,13.607142857142858,-5.6
B.Mayfield,2023,18,0.6451612903225806,0.0,0.029485594,-1.2422438,0.0,0.0,31.0,6.0,0.0,0.5,0.06451612903225806,0.0,0.0,0.0,4.709677419354839,-3.6666666666666665
B.Mayfield,2023,19,0.5945945945945946,0.0,0.6221819,-1.9375179,0.0,0.0,37.0,5.0,0.0,0.8,0.05405405405405406,0.0,0.08108108108108109,0.0,9.54054054054054,-6.0
B.Mayfield,2023,20,0.6097560975609756,0.14285714285714285,0.3061847,-1.2181215,0.04878048780487805,0.0,41.0,7.0,0.0,0.5714285714285714,0.04878048780487805,0.0,0.07317073170731707,0.0,8.463414634146341,-1.8571428571428572
B.Mayfield,2024,2,0.5454545454545454,0.0,0.39778852,-1.9713888,0.045454545454545456,0.0,22.0,5.0,0.0,1.0,0.13636363636363635,0.0,0.045454545454545456,0.0,9.5,-7.8
B.Mayfield,2024,3,0.7741935483870968,0.1111111111111111,-0.3871543,-1.2320625,0.03225806451612903,0.0,31.0,9.0,0.0,0.7777777777777778,0.0,0.0,0.03225806451612903,0.0,5.129032258064516,-3.0
B.Mayfield,2024,13,0.625,0.16666666666666666,0.051932685,-1.6216358,0.03125,0.16666666666666666,32.0,6.0,0.0,0.6666666666666666,0.03125,0.0,0.03125,0.0,7.4375,-4.0
B.Mayfield,2024,14,0.6071428571428571,0.14285714285714285,0.6395788,-1.8421687,0.03571428571428571,0.14285714285714285,28.0,7.0,0.0,0.5714285714285714,0.07142857142857142,0.0,0.10714285714285714,0.0,10.464285714285714,-1.8571428571428572
