posteam,season,turnovers_forced,turnovers_lost,turnover_margin
NE,2024,0.6470588235294118,1.411764705882353,-0.7647058823529411
NE,2025,1.375,1.125,0.25
NO,2022,0.8235294117647058,1.4705882352941178,-0.6470588235294118
NO,2023,1.7058823529411764,1.0588235294117647,0.6470588235294118
NO,2024,1.1176470588235294,1.0,0.11764705882352941
NO,2025,1.25,1.5,-0.25
NYG,2022,1.0526315789473684,0.8421052631578947,0.21052631578947367
NYG,2023,1.8823529411764706,1.0588235294117647,0.8235294117647058
NYG,2024,0.8823529411764706,1.3529411764705883,-0.47058823529411764
NYG,2025,0.625,1.125,-0.5
NYJ,2022,0.9411764705882353,1.3529411764705883,-0.4117647058823529
NYJ,2023,1.588235294117647,1.9411764705882353,-0.35294117647058826
NYJ,2024,1.0588235294117647,1.0588235294117647,0.0
NYJ,2025,0.125,1.25,-1.125
PHI,2022,1.55,1.0,0.55
PHI,2023,0.9444444444444444,1.6111111111111112,-0.6666666666666666
PHI,2024,1.9047619047619047,0.7142857142857143,1.1904761904761905
PHI,2025,0.875,0.375,0.5
PIT,2022,1.411764705882353,1.0588235294117647,0.35294117647058826
PIT,2023,1.5555555555555556,0.9444444444444444,0.6111111111111112
PIT,2024,1.6666666666666667,1.1111111111111112,0.5555555555555556
PIT,2025,1.4285714285714286,0.8571428571428571,0.5714285714285714
SEA,2022,1.3888888888888888,1.3888888888888888,0.0
SEA,2023,1.2352941176470589,0.8823529411764706,0.35294117647058826
SEA,2024,1.1764705882352942,1.2941176470588236,-0.11764705882352941
SEA,2025,1.2857142857142858,1.5714285714285714,-0.2857142857142857
SF,2022,1.65,1.1,0.55
SF,2023,1.65,1.05,0.6
SF,2024,1.0588235294117647,1.5294117647058822,-0.47058823529411764
SF,2025,0.875,1.5,-0.625
TB,2022,1.1666666666666667,1.2222222222222223,-0.05555555555555555
TB,2023,1.368421052631579,1.0526315789473684,0.3157894736842105
TB,2024,0.8888888888888888,1.4444444444444444,-0.5555555555555556
TB,2025,1.5,0.625,0.875
TEN,2022,1.3529411764705883,1.1764705882352942,0.17647058823529413
TEN,2023,0.9411764705882353,1.0,-0.058823529411764705
TEN,2024,1.0588235294117647,1.9411764705882353,-0.8823529411764706
TEN,2025,0.875,1.875,-1.0
WAS,2022,0.8823529411764706,1.5294117647058822,-0.6470588235294118
WAS,2023,1.0588235294117647,1.8823529411764706,-0.8235294117647058
WAS,2024,1.25,0.9,0.35
WAS,2025,0.625,1.25,-0.625
