posteam,season,start_yardline_bucket,td_prob,fg_prob,punt_prob,turnover_prob,downs_prob,end_half_prob,total_drives
BUF,2023,own_10,0.0,0.06666666666666667,0.36666666666666664,0.18333333333333332,0.0,0.3833333333333333,16
BUF,2024,opp_35,0.00625,0.14678571428571427,0.3055952380952381,0.037976190476190476,0.05166666666666666,0.4517261904761905,101
BUF,2024,own_20,0.0,0.20833333333333331,0.375,0.08333333333333333,0.08333333333333333,0.25,13
BUF,2024,own_10,0.0,0.08333333333333333,0.5,0.0,0.0,0.41666666666666663,12
BUF,2025,opp_35,0.0,0.13174603174603175,0.2119047619047619,0.05714285714285715,0.023809523809523808,0.5753968253968254,36
BUF,2025,own_20,0.0,0.2222222222222222,0.4222222222222222,0.06666666666666667,0.06666666666666667,0.2222222222222222,11
CAR,2022,opp_35,0.0,0.2229591836734694,0.3585034013605442,0.10374149659863945,0.06802721088435373,0.2467687074829932,76
CAR,2022,own_20,0.0,0.11904761904761904,0.5476190476190476,0.03571428571428571,0.047619047619047616,0.25,27
CAR,2022,own_10,0.06666666666666667,0.11666666666666665,0.41666666666666663,0.2,0.0,0.2,18
CAR,2023,opp_35,0.018207282913165267,0.19131652661064424,0.46358543417366943,0.06792717086834733,0.1242296918767507,0.13473389355742296,88
CAR,2023,own_20,0.0,0.06666666666666667,0.3466666666666667,0.21333333333333332,0.24,0.13333333333333333,19
CAR,2023,own_10,0.09523809523809523,0.13095238095238096,0.5666666666666667,0.07619047619047618,0.047619047619047616,0.08333333333333333,24
CAR,2024,opp_35,0.02042483660130719,0.117296918767507,0.3875350140056022,0.10583566760037347,0.08779178338001868,0.2811157796451914,115
CAR,2024,own_10,0.0,0.05,0.5666666666666667,0.08333333333333333,0.08333333333333333,0.21666666666666667,14
CAR,2025,opp_35,0.023809523809523808,0.16547619047619047,0.2814625850340136,0.1880952380952381,0.06462585034013604,0.27653061224489794,41
