game,bet_type,side,model,probability,edge,conviction,actual_bet,result
NYG@WAS W1,TOTAL,UNDER,NEW_2025,0.5423728813559322,1.837288135593218,LOW,True,WIN
TEN@DEN W1,SPREAD,DEN,CURRENT,0.4694835680751174,-5.451643192488264,NEGATIVE,False,LOSS
TEN@DEN W1,SPREAD,DEN,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
TEN@DEN W1,SPREAD,TEN,CURRENT,0.5305164319248826,0.6516431924882604,LOW,True,WIN
TEN@DEN W1,SPREAD,TEN,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
TEN@DEN W1,TOTAL,OVER,CURRENT,0.3837209302325581,-14.027906976744193,NEGATIVE,False,LOSS
TEN@DEN W1,TOTAL,OVER,NEW_2025,0.43478260869565216,-8.921739130434785,NEGATIVE,False,LOSS
TEN@DEN W1,TOTAL,UNDER,CURRENT,0.6162790697674418,9.227906976744183,HIGH,True,WIN
TEN@DEN W1,TOTAL,UNDER,NEW_2025,0.5652173913043478,4.121739130434776,MEDIUM,True,WIN
SF@SEA W1,SPREAD,SEA,CURRENT,0.4973262032085561,-2.6673796791443936,NEGATIVE,False,LOSS
SF@SEA W1,SPREAD,SEA,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
SF@SEA W1,SPREAD,SF,CURRENT,0.5026737967914439,-2.132620320855616,NEGATIVE,False,WIN
SF@SEA W1,SPREAD,SF,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
SF@SEA W1,TOTAL,OVER,CURRENT,0.5496688741721855,2.566887417218544,MEDIUM,True,LOSS
SF@SEA W1,TOTAL,OVER,NEW_2025,0.5423728813559322,1.837288135593218,LOW,True,LOSS
SF@SEA W1,TOTAL,UNDER,CURRENT,0.4503311258278145,-7.366887417218554,NEGATIVE,False,WIN
SF@SEA W1,TOTAL,UNDER,NEW_2025,0.4576271186440678,-6.637288135593222,NEGATIVE,False,WIN
DET@GB W1,SPREAD,GB,CURRENT,0.4973262032085561,-2.6673796791443936,NEGATIVE,False,WIN
DET@GB W1,SPREAD,GB,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
DET@GB W1,SPREAD,DET,CURRENT,0.5026737967914439,-2.132620320855616,NEGATIVE,False,LOSS
DET@GB W1,SPREAD,DET,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,LOSS
DET@GB W1,TOTAL,OVER,CURRENT,0.5496688741721855,2.566887417218544,MEDIUM,True,LOSS
DET@GB W1,TOTAL,OVER,NEW_2025,0.5423728813559322,1.837288135593218,LOW,True,LOSS
DET@GB W1,TOTAL,UNDER,CURRENT,0.4503311258278145,-7.366887417218554,NEGATIVE,False,WIN
DET@GB W1,TOTAL,UNDER,NEW_2025,0.4576271186440678,-6.637288135593222,NEGATIVE,False,WIN
HOU@LA W1,SPREAD,LA,CURRENT,0.539568345323741,1.5568345323740962,LOW,True,WIN
HOU@LA W1,SPREAD,LA,NEW_2025,0.6,7.599999999999996,HIGH,True,WIN
HOU@LA W1,SPREAD,HOU,CURRENT,0.460431654676259,-6.3568345323741005,NEGATIVE,False,LOSS
HOU@LA W1,SPREAD,HOU,NEW_2025,0.4,-12.4,NEGATIVE,False,LOSS
HOU@LA W1,TOTAL,OVER,CURRENT,0.625,10.099999999999998,HIGH,True,LOSS
HOU@LA W1,TOTAL,OVER,NEW_2025,0.6,7.599999999999996,HIGH,True,LOSS
HOU@LA W1,TOTAL,UNDER,CURRENT,0.375,-14.900000000000002,NEGATIVE,False,WIN
HOU@LA W1,TOTAL,UNDER,NEW_2025,0.4,-12.4,NEGATIVE,False,WIN
BAL@BUF W1,SPREAD,BUF,CURRENT,0.4973262032085561,-2.6673796791443936,NEGATIVE,False,WIN
BAL@BUF W1,SPREAD,BUF,NEW_2025,0.5,-2.400000000000002,NEGATIVE,False,WIN
