game_id,season,week,gameday,away_team,home_team,away_ol_grade,home_ol_grade,away_dl_grade,home_dl_grade,pressure_edge_away,pressure_edge_home,net_pressure_advantage,spread_line,total_line,away_score,home_score,actual_spread,point_differential,spread_result,total_result
2022_04_CHI_NYG,2022,4,2022-10-02,CHI,NYG,68.2,62.0,52.2,68.8,-9.799999999999997,0.5999999999999943,10.399999999999991,3.0,39.0,12.0,20.0,8.0,8.0,HOME_COVER,UNDER
2022_04_JAX_PHI,2022,4,2022-10-02,JAX,PHI,72.8,84.9,76.5,90.1,-8.400000000000006,17.299999999999997,25.700000000000003,6.5,44.0,21.0,29.0,8.0,8.0,HOME_COVER,OVER
2022_04_NYJ_PIT,2022,4,2022-10-02,NYJ,PIT,59.2,69.5,81.6,67.6,12.099999999999994,8.399999999999991,-3.700000000000003,3.0,41.0,24.0,20.0,-4.0,-4.0,AWAY_COVER,OVER
2022_04_NE_GB,2022,4,2022-10-02,NE,GB,72.5,77.6,73.5,71.5,-4.099999999999994,-1.0,3.0999999999999943,10.0,40.5,24.0,27.0,3.0,3.0,AWAY_COVER,OVER
2022_04_DEN_LV,2022,4,2022-10-02,DEN,LV,66.9,73.0,66.4,69.4,-6.599999999999994,2.5,9.099999999999994,2.5,45.5,23.0,32.0,9.0,9.0,HOME_COVER,OVER
2022_04_KC_TB,2022,4,2022-10-02,KC,TB,73.6,75.0,75.3,64.3,0.29999999999999716,-9.299999999999997,-9.599999999999994,1.0,46.5,41.0,31.0,-10.0,-10.0,AWAY_COVER,OVER
2022_04_LA_SF,2022,4,2022-10-03,LA,SF,62.0,74.4,67.1,76.4,-7.300000000000011,14.400000000000006,21.700000000000017,1.0,42.0,9.0,24.0,15.0,15.0,HOME_COVER,UNDER
2022_05_IND_DEN,2022,5,2022-10-06,IND,DEN,62.9,66.9,62.5,66.4,-4.400000000000006,3.500000000000007,7.900000000000013,3.5,42.0,12.0,9.0,-3.0,-3.0,AWAY_COVER,UNDER
2022_05_NYG_GB,2022,5,2022-10-09,NYG,GB,62.0,77.6,68.8,71.5,-8.799999999999997,9.5,18.299999999999997,8.5,42.0,27.0,22.0,-5.0,-5.0,AWAY_COVER,OVER
2022_05_PIT_BUF,2022,5,2022-10-09,PIT,BUF,69.5,64.1,67.6,78.8,3.5,9.299999999999997,5.799999999999997,14.0,44.0,3.0,38.0,35.0,35.0,HOME_COVER,UNDER
