team,season,week,off_epa_per_play,def_epa_per_play,plays_offensive,plays_defensive,data_source
MIA,2022,16,0.04153651371598244,0.025726381689310074,1087,1190,rolling
MIA,2022,17,0.03192007914185524,0.024251176044344902,1150,1273,rolling
MIA,2022,18,0.024749979376792908,0.018628329038619995,1242,1348,rolling
MIA,2023,1,0.019337309524416924,0.011578618548810482,1320,1420,previous_season
MIA,2023,2,0.22155536711215973,0.1311960369348526,83,100,rolling
MIA,2023,3,0.14637555181980133,0.05392405018210411,162,187,rolling
MIA,2023,4,0.2653666138648987,-0.005177151877433062,255,270,rolling
MIA,2023,5,0.18938325345516205,0.0749659612774849,337,343,rolling
MIA,2023,6,0.16793961822986603,0.037712473422288895,404,435,rolling
MIA,2023,7,0.1676182895898819,0.013936602510511875,487,520,rolling
MIA,2023,8,0.131845623254776,0.022333722561597824,553,603,rolling
MIA,2023,9,0.11675730347633362,0.00418830243870616,644,673,rolling
MIA,2023,10,0.09662963449954987,0.006073225289583206,724,747,rolling
MIA,2023,11,0.09662963449954987,0.006073225289583206,724,747,rolling
MIA,2023,12,0.07733947783708572,-0.012197879143059254,809,824,rolling
MIA,2023,13,0.07808489352464676,-0.03341543674468994,891,901,rolling
MIA,2023,14,0.09907390922307968,-0.04333871975541115,965,973,rolling
MIA,2023,15,0.09214899688959122,-0.03725700080394745,1057,1064,rolling
MIA,2023,16,0.08830597251653671,-0.06353454291820526,1134,1137,rolling
MIA,2023,17,0.09089670330286026,-0.05127748101949692,1215,1219,rolling
MIA,2023,18,0.07797303050756454,-0.025318561121821404,1303,1295,rolling
MIA,2024,1,0.07086770981550217,-0.02038097381591797,1370,1382,previous_season
MIA,2024,2,-0.006285218521952629,-0.04175207391381264,85,72,rolling
MIA,2024,3,-0.12354006618261337,0.028733011335134506,174,132,rolling
MIA,2024,4,-0.19923731684684753,-0.008690002374351025,253,211,rolling
MIA,2024,5,-0.21515041589736938,0.005991075187921524,328,297,rolling
MIA,2024,6,-0.17850591242313385,-0.030190087854862213,419,377,rolling
MIA,2024,7,-0.17850591242313385,-0.030190087854862213,419,377,rolling
MIA,2024,8,-0.1865079700946808,-0.0522422194480896,504,457,rolling
MIA,2024,9,-0.13483163714408875,-0.010029997676610947,582,540,rolling
MIA,2024,10,-0.09379573911428452,0.018991876393556595,660,620,rolling
MIA,2024,11,-0.0912204384803772,-0.007823852822184563,727,707,rolling
MIA,2024,12,-0.050076402723789215,0.005535369738936424,809,785,rolling
