game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score
2022_07_KC_SF,2022,7,KC,SF,-2.7755575615628914e-17,-2.7755575615628914e-17,4,2,0.0,0,0,2,3,0,0,0,0,0.01242765424530827
2022_07_PIT_MIA,2022,7,PIT,MIA,0.0,-1.0408340855860843e-17,3,3,1.0408340855860843e-17,0,0,3,2,0,1,0,0,0.25992306644974533
2022_07_CHI_NE,2022,7,CHI,NE,0.0,0.0,1,3,0.0,0,0,4,3,0,0,0,0,0.01242765424530827
2022_08_BAL_TB,2022,8,BAL,TB,-5.551115123125783e-17,-8.326672684688674e-17,3,1,2.7755575615628914e-17,0,0,3,4,0,0,0,0,0.6724154201238071
2022_08_DEN_JAX,2022,8,DEN,JAX,-5.551115123125783e-17,-5.551115123125783e-17,2,0,0.0,0,1,2,5,1,0,0,0,0.01242765424530827
2022_08_CAR_ATL,2022,8,CAR,ATL,-2.7755575615628914e-17,0.0,3,3,-2.7755575615628914e-17,0,0,3,3,0,0,0,0,-0.6475601116331906
2022_08_CHI_DAL,2022,8,CHI,DAL,-8.326672684688674e-17,-4.163336342344337e-17,2,0,-4.163336342344337e-17,0,1,3,5,0,0,0,0,-0.97755399457244
2022_08_MIA_DET,2022,8,MIA,DET,-2.7755575615628914e-17,-4.163336342344337e-17,4,0,1.3877787807814457e-17,0,1,2,5,1,0,0,0,0.3424215371845577
2022_08_ARI_MIN,2022,8,ARI,MIN,0.0,0.0,3,0,0.0,0,1,2,5,0,0,0,0,0.01242765424530827
2022_08_LV_NO,2022,8,LV,NO,-5.551115123125783e-17,0.0,1,3,-5.551115123125783e-17,0,0,4,2,0,0,0,0,-1.3075478775116893
2022_08_NE_NYJ,2022,8,NE,NYJ,0.0,-8.326672684688674e-17,3,5,8.326672684688674e-17,0,0,2,1,0,0,0,0,1.9923909518808047
2022_08_PIT_PHI,2022,8,PIT,PHI,0.0,-5.551115123125783e-17,0,3,5.551115123125783e-17,1,0,5,3,0,0,0,0,1.332403186002306
2022_08_TEN_HOU,2022,8,TEN,HOU,0.0,-5.551115123125783e-17,2,2,5.551115123125783e-17,0,0,3,3,0,0,0,0,1.332403186002306
2022_08_WAS_IND,2022,8,WAS,IND,-8.326672684688674e-17,0.0,3,4,-8.326672684688674e-17,0,0,2,2,0,0,0,0,-1.9675356433901883
2022_08_SF_LA,2022,8,SF,LA,0.0,-5.551115123125783e-17,0,5,5.551115123125783e-17,1,0,5,0,0,0,0,0,1.332403186002306
2022_08_NYG_SEA,2022,8,NYG,SEA,0.0,0.0,3,4,0.0,0,0,3,1,0,1,0,0,0.01242765424530827
2022_08_GB_BUF,2022,8,GB,BUF,-5.551115123125783e-17,-8.326672684688674e-17,1,3,2.7755575615628914e-17,0,0,4,2,0,0,0,0,0.6724154201238071
2022_08_CIN_CLE,2022,8,CIN,CLE,0.0,0.0,0,0,0.0,1,1,5,5,0,0,0,0,0.01242765424530827
2022_09_PHI_HOU,2022,9,PHI,HOU,0.0,-2.7755575615628914e-17,0,2,2.7755575615628914e-17,1,0,5,3,0,0,0,0,0.6724154201238071
2022_09_LAC_ATL,2022,9,LAC,ATL,-4.85722573273506e-17,-8.326672684688674e-17,0,3,3.469446951953614e-17,1,0,5,2,0,0,0,0,0.8374123615934318
