game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,spread_sd,total_sd,spread_raw,spread_raw_sd,total_raw,total_raw_sd,p_home_cover,p_away_cover,p_over,p_under,p_home_cover_centered,p_over_centered,calibration_method,spread_bet,spread_edge,spread_conviction,total_bet,total_edge,total_conviction,actual_home_score,actual_away_score,actual_spread,actual_total,home_covered,spread_result,over_hit,total_result
2025_03_IND_TEN,2025,3,IND,TEN,-6.0,43.5,-6.005434020215883,43.505434020215894,10.752247239143363,10.298514242895237,-30.381,10.455804081944152,42.244,10.01466245062708,0.01,0.99,0.6363636363636364,0.36363636363636365,0.505,0.389,isotonic,AWAY,0.46599999999999997,HIGH,OVER,0.11236363636363633,HIGH,20.0,41.0,-21.0,61.0,0.0,1.0,1.0,1.0
2025_03_LV_WAS,2025,3,LV,WAS,2.5,43.5,2.6495317434997614,43.64953174349976,18.06151299645672,16.23942743498251,7.4985,11.876531385467727,28.2105,10.650595746248188,0.7777777777777778,0.2222222222222222,0.4489795918367347,0.5510204081632653,0.4455,0.415,isotonic,HOME,0.25377777777777777,HIGH,UNDER,0.02702040816326523,LOW,41.0,24.0,17.0,65.0,1.0,1.0,1.0,0.0
2025_03_DEN_LAC,2025,3,DEN,LAC,2.5,45.5,2.5003582118682055,45.5003582118682,10.932667065591145,9.775148064376479,16.5395,12.620080813925084,52.5185,11.283911456139666,0.99,0.010000000000000009,0.99,0.010000000000000009,0.5115,0.46,isotonic,HOME,0.46599999999999997,HIGH,OVER,0.46599999999999997,HIGH,23.0,20.0,3.0,43.0,1.0,1.0,0.0,0.0
2025_03_NO_SEA,2025,3,NO,SEA,7.5,41.5,7.563557272560527,41.56355727256053,14.882859345230287,15.552295754871334,10.493,9.84707829764748,27.26,10.290403296275613,0.6,0.4,0.4489795918367347,0.5510204081632653,0.496,0.5315,isotonic,HOME,0.07599999999999996,HIGH,UNDER,0.02702040816326523,LOW,44.0,13.0,31.0,57.0,1.0,1.0,1.0,0.0
2025_03_DAL_CHI,2025,3,DAL,CHI,-1.5,49.5,-1.4999999999999956,49.500000000000014,17.509617671439887,17.520825066189094,-0.2585,8.754808835719944,13.1835,8.760412533094547,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.6195,0.5345,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,31.0,14.0,17.0,45.0,1.0,,0.0,1.0
2025_03_ARI_SF,2025,3,ARI,SF,1.5,44.5,1.5019850405346242,44.50198504053463,12.084443953739287,10.8570685070634,9.682,12.397414085203414,45.64,11.140798894154763,0.7777777777777778,0.2222222222222222,0.99,0.010000000000000009,0.529,0.459,isotonic,HOME,0.25377777777777777,HIGH,OVER,0.46599999999999997,HIGH,16.0,15.0,1.0,31.0,0.0,0.0,0.0,0.0
2025_03_KC_NYG,2025,3,KC,NYG,-6.0,44.5,-6.128337182843341,44.628337182843325,19.27123104370898,17.82326676060966,-6.841,10.857519007581796,24.83,10.046795509016793,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.4315,0.46,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,9.0,22.0,-13.0,31.0,0.0,,0.0,1.0
2025_03_DET_BAL,2025,3,DET,BAL,4.5,53.5,4.47949327272325,53.520506727276754,15.214309432570246,13.046035355422159,-1.147,12.877980858814785,45.152,11.035256952151137,0.4857142857142857,0.5142857142857142,0.59375,0.40625,0.519,0.458,isotonic,,0.0,,OVER,0.06974999999999998,HIGH,30.0,38.0,-8.0,68.0,0.0,,1.0,1.0
2025_04_SEA_ARI,2025,4,SEA,ARI,-1.5,43.5,-1.5322370226845476,43.53223702268455,13.244537964424634,12.458771172598986,-8.754,11.878614565680628,38.837,11.17861489630983,0.2857142857142857,0.7142857142857143,0.6363636363636364,0.36363636363636365,0.5205,0.476,isotonic,AWAY,0.19028571428571428,HIGH,OVER,0.11236363636363633,HIGH,20.0,23.0,-3.0,43.0,0.0,1.0,0.0,0.0
2025_04_MIN_PIT,2025,4,MIN,PIT,-2.5,41.5,-2.365498700497779,41.634501299502226,12.763127262839122,12.268116837287371,23.9815,10.677460266842486,34.0515,10.268682863444562,0.99,0.010000000000000009,0.59375,0.40625,0.5135,0.56,isotonic,HOME,0.46599999999999997,HIGH,OVER,0.06974999999999998,HIGH,24.0,21.0,3.0,45.0,1.0,1.0,1.0,1.0
2025_04_WAS_ATL,2025,4,WAS,ATL,2.5,43.5,2.4276247471997454,43.57237525280025,13.717376793157001,11.850127315046782,-17.797,12.296779700393108,38.568,10.597706166902347,0.01,0.99,0.59375,0.40625,0.4615,0.4605,isotonic,AWAY,0.46599999999999997,HIGH,OVER,0.06974999999999998,HIGH,34.0,27.0,7.0,61.0,1.0,0.0,1.0,1.0
2025_04_NO_BUF,2025,4,NO,BUF,15.5,48.5,15.506060039370082,48.50606003937009,15.034759417230877,13.749571803959228,21.968,11.468957058076379,36.957,10.48666538991304,0.7777777777777778,0.2222222222222222,0.4510779690115592,0.5489220309884408,0.468,0.474,isotonic,HOME,0.25377777777777777,HIGH,UNDER,0.024922030988440813,LOW,31.0,19.0,12.0,50.0,0.0,0.0,1.0,0.0
2025_04_CLE_DET,2025,4,CLE,DET,10.0,44.5,10.002897489896277,44.502897489896284,10.146371610287293,10.549827585582129,32.796,9.372800221918741,41.074,9.744615128367052,0.99,0.010000000000000009,0.6363636363636364,0.36363636363636365,0.534,0.568,isotonic,HOME,0.46599999999999997,HIGH,OVER,0.11236363636363633,HIGH,34.0,10.0,24.0,44.0,1.0,1.0,0.0,0.0
2025_04_TEN_HOU,2025,4,TEN,HOU,7.5,39.5,7.499999999999998,39.50000000000001,15.276346912792992,16.235469534325148,2.8825,7.638173456396496,10.1135,8.117734767162574,0.2857142857142857,0.7142857142857143,0.4489795918367347,0.5510204081632653,0.466,0.412,isotonic,AWAY,0.19028571428571428,HIGH,UNDER,0.02702040816326523,LOW,26.0,0.0,26.0,26.0,1.0,0.0,0.0,1.0
2025_04_CAR_NE,2025,4,CAR,NE,5.5,42.5,5.7024575,42.7024575,16.840757991794604,18.02204379276096,9.576,8.57316884238261,17.945,9.156307934970295,0.7777777777777778,0.2222222222222222,0.4489795918367347,0.5510204081632653,0.52,0.4355,isotonic,HOME,0.25377777777777777,HIGH,UNDER,0.02702040816326523,LOW,42.0,13.0,29.0,55.0,1.0,1.0,1.0,0.0
2025_04_LAC_NYG,2025,4,LAC,NYG,-6.0,43.5,-5.950053866635793,43.549946133364195,14.387908983179708,14.564803993935254,-3.2485,10.766138943465295,32.3925,10.892035794561089,0.4857142857142857,0.5142857142857142,0.4666666666666667,0.5333333333333333,0.514,0.481,isotonic,,0.0,,UNDER,0.009333333333333305,LOW,21.0,18.0,3.0,39.0,1.0,,0.0,1.0
2025_04_PHI_TB,2025,4,PHI,TB,-3.5,44.5,-3.4832798345977976,44.516720165402205,17.2747590504625,16.429175217053114,-1.8715,11.091167104953383,28.5365,10.548396453963987,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.5155,0.427,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,25.0,31.0,-6.0,56.0,0.0,,1.0,0.0
2025_04_IND_LA,2025,4,IND,LA,3.5,49.5,3.5000000000000053,49.49999999999999,9.495550650570118,8.866111851240076,-3.723,13.44742618496194,70.101,12.556026401692536,0.4857142857142857,0.5142857142857142,0.99,0.010000000000000009,0.478,0.418,isotonic,,0.0,,OVER,0.46599999999999997,HIGH,27.0,20.0,7.0,47.0,1.0,,0.0,0.0
2025_04_JAX_SF,2025,4,JAX,SF,3.5,45.5,3.502064478886428,45.50206447888643,12.68317648081401,11.164676616391617,6.3085,12.802122001840164,45.9065,11.267420190531636,0.4857142857142857,0.5142857142857142,0.9319059249981423,0.06809407500185771,0.553,0.479,isotonic,,0.0,,OVER,0.40790592499814227,HIGH,21.0,26.0,-5.0,47.0,0.0,,1.0,1.0
2025_04_BAL_KC,2025,4,BAL,KC,-2.5,48.5,-2.5129238471448563,48.51292384714486,15.961744646395458,13.072097723718437,-9.3955,13.04377551746426,39.5865,10.69506978705609,0.4857142857142857,0.5142857142857142,0.59375,0.40625,0.5025,0.5105,isotonic,,0.0,,OVER,0.06974999999999998,HIGH,37.0,20.0,17.0,57.0,1.0,,1.0,1.0
2025_04_CHI_LV,2025,4,CHI,LV,1.5,47.5,1.1843432458658443,47.81565675413415,19.028850417900337,19.53555829857686,-9.939,10.131351291905736,24.733,10.415887432187427,0.06742058182622711,0.9325794181737729,0.4489795918367347,0.5510204081632653,0.4985,0.4595,isotonic,AWAY,0.40857941817377286,HIGH,UNDER,0.02702040816326523,LOW,24.0,25.0,-1.0,49.0,0.0,1.0,1.0,0.0
2025_04_GB_DAL,2025,4,GB,DAL,-7.0,47.5,-6.766491417837944,47.73350858216206,15.777616693522917,13.568788202633534,17.3685,13.110252009400886,38.5975,11.353963790236431,0.99,0.010000000000000009,0.59375,0.40625,0.5155,0.4735,isotonic,HOME,0.46599999999999997,HIGH,OVER,0.06974999999999998,HIGH,40.0,40.0,0.0,80.0,1.0,1.0,1.0,1.0
2025_04_NYJ_MIA,2025,4,NYJ,MIA,2.5,44.5,2.500000000000001,44.49999999999999,12.991435794399326,15.142051512262137,-0.593,6.495717897199662,8.663,7.571025756131068,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.6785,0.422,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,27.0,21.0,6.0,48.0,1.0,,1.0,0.0
2025_04_CIN_DEN,2025,4,CIN,DEN,7.5,44.5,7.56755618055797,44.56755618055798,17.64681541098962,16.010588799611753,9.427,11.456817664604776,28.711,10.402282393782626,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.502,0.4425,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,28.0,3.0,25.0,31.0,1.0,,0.0,1.0
2025_05_SF_LA,2025,5,SF,LA,8.5,43.5,8.490686341877701,43.50931365812231,10.580054645423417,9.380379343629285,7.983,13.412408844051841,55.046,11.888266652460317,0.4857142857142857,0.5142857142857142,0.99,0.010000000000000009,0.465,0.5325,isotonic,,0.0,,OVER,0.46599999999999997,HIGH,23.0,26.0,-3.0,49.0,0.0,,1.0,1.0
2025_05_MIN_CLE,2025,5,MIN,CLE,-3.5,35.5,-3.500000000000001,35.5,17.570633198607272,18.263766068366074,-0.7285,8.785316599303636,14.7715,9.131883034183037,0.6,0.4,0.4489795918367347,0.5510204081632653,0.582,0.389,isotonic,HOME,0.07599999999999996,HIGH,UNDER,0.02702040816326523,LOW,17.0,21.0,-4.0,38.0,0.0,0.0,1.0,0.0
2025_05_HOU_BAL,2025,5,HOU,BAL,-2.5,41.5,-2.4676071577343426,41.53239284226565,11.37699479215989,10.232042519089857,26.0665,12.571796918102041,45.6115,11.320316592304298,0.99,0.010000000000000009,0.99,0.010000000000000009,0.5285,0.4785,isotonic,HOME,0.46599999999999997,HIGH,OVER,0.46599999999999997,HIGH,10.0,44.0,-34.0,54.0,0.0,0.0,1.0,1.0
2025_05_MIA_CAR,2025,5,MIA,CAR,-1.5,44.5,-1.5000000000000016,44.49999999999999,14.67362528484355,15.896402077199735,-1.3445,7.336812642421775,10.6005,7.9482010385998665,0.4857142857142857,0.5142857142857142,0.4489795918367347,0.5510204081632653,0.5735,0.407,isotonic,,0.0,,UNDER,0.02702040816326523,LOW,27.0,24.0,3.0,51.0,1.0,,1.0,0.0
2025_05_LV_IND,2025,5,LV,IND,7.0,46.5,7.003456303755887,46.50345630375588,13.207386919545183,11.158265040803268,20.724,13.151381068161626,46.274,11.112961981398119,0.99,0.010000000000000009,0.7630121486752304,0.23698785132476963,0.5845,0.493,isotonic,HOME,0.46599999999999997,HIGH,OVER,0.23901214867523035,HIGH,40.0,6.0,34.0,46.0,1.0,1.0,0.0,0.0
