game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,p_home_cover,p_over,bet_spread,bet_total,actual_home_score,actual_away_score,spread_sd,total_sd,actual_spread,actual_total,home_covered,over_hit,spread_result,total_result
2024_04_PHI_TB,2024,4,PHI,TB,1.5,42.0,1.6778084714548824,42.17780847145488,0.46,0.54,,,33.0,16.0,16.65839425767141,14.193379372651231,17.0,49.0,1.0,1.0,,
2024_04_WAS_ARI,2024,4,WAS,ARI,-3.5,49.0,-3.3238853503184775,49.17611464968153,0.42,0.5,AWAY,,14.0,42.0,13.178018287939516,15.132505058660666,-28.0,56.0,0.0,1.0,1.0,
2024_04_NE_SF,2024,4,NE,SF,-10.5,41.0,-10.52977115117892,41.02977115117892,0.5,0.48,,,30.0,13.0,17.317194698475316,15.99585478135872,17.0,43.0,1.0,1.0,,
2024_04_KC_LAC,2024,4,KC,LAC,7.0,41.5,7.000000000000007,41.5,0.5,0.52,,,10.0,17.0,9.952701844545782,10.633964301230796,-7.0,27.0,0.0,0.0,,
2024_04_CLE_LV,2024,4,CLE,LV,2.5,36.5,2.2983201267828846,36.70167987321711,0.42,0.46,AWAY,,20.0,16.0,16.28744387982246,14.656413262582502,4.0,36.0,1.0,0.0,0.0,
2024_04_BUF_BAL,2024,4,BUF,BAL,-2.5,46.5,-2.4849695121951147,46.51503048780488,0.48,0.52,,,35.0,10.0,13.320516442011572,12.882942472368509,25.0,45.0,1.0,0.0,,
2024_04_SEA_DET,2024,4,SEA,DET,-4.5,47.0,-4.547459016393447,47.04745901639345,0.46,0.54,,,42.0,29.0,17.306750058739865,16.754608646339264,13.0,71.0,1.0,1.0,,
2024_05_TB_ATL,2024,5,TB,ATL,-1.5,43.5,-1.4278027681660905,43.572197231833904,0.52,0.56,,OVER,36.0,30.0,13.660784345240067,14.723173680472444,6.0,66.0,1.0,1.0,,1.0
2024_05_NYJ_MIN,2024,5,NYJ,MIN,-2.5,41.5,-2.50000000000001,41.50000000000001,0.52,0.54,,,23.0,17.0,12.140189810871794,8.787106475784132,6.0,40.0,1.0,0.0,,
2024_05_CAR_CHI,2024,5,CAR,CHI,-4.0,41.0,-3.956046831955922,41.043953168044084,0.54,0.42,,UNDER,36.0,10.0,16.49946843201308,12.175991882319362,26.0,46.0,1.0,1.0,,0.0
2024_05_BAL_CIN,2024,5,BAL,CIN,2.5,48.5,2.41068458093411,48.589315419065905,0.54,0.5,,,38.0,41.0,18.73524978104678,16.28824143631321,-3.0,79.0,0.0,1.0,,
2024_05_BUF_HOU,2024,5,BUF,HOU,-1.0,47.0,-0.8802767749699192,47.11972322503007,0.4,0.54,AWAY,,23.0,20.0,17.01978977777541,14.229481014195281,3.0,43.0,1.0,0.0,0.0,
2024_05_IND_JAX,2024,5,IND,JAX,-3.5,45.0,-3.5452334630350206,45.04523346303501,0.42,0.5,AWAY,,37.0,34.0,20.519094885095598,16.19514241794016,3.0,71.0,1.0,1.0,0.0,
2024_05_CLE_WAS,2024,5,CLE,WAS,-3.0,43.5,-3.2114715189873415,43.71147151898733,0.52,0.48,,,34.0,13.0,12.100500391274968,13.27546567300645,21.0,47.0,1.0,1.0,,
2024_05_LV_DEN,2024,5,LV,DEN,-2.5,36.0,-2.3636974789915968,36.1363025210084,0.48,0.48,,,34.0,18.0,13.865531051525391,13.644008630789996,16.0,52.0,1.0,1.0,,
2024_05_ARI_SF,2024,5,ARI,SF,-7.5,48.5,-7.339028117359407,48.66097188264059,0.58,0.46,HOME,,23.0,24.0,20.200177211696644,17.799214625000396,-1.0,47.0,1.0,0.0,1.0,
2024_05_NO_KC,2024,5,NO,KC,-5.5,43.0,-5.5,43.00000000000001,0.5,0.48,,,26.0,13.0,14.673783264514347,10.235344967077506,13.0,39.0,1.0,0.0,,
2024_06_SF_SEA,2024,6,SF,SEA,3.5,49.5,3.5571769383697904,49.55717693836978,0.52,0.42,,UNDER,24.0,36.0,18.204288135261592,14.850122707082797,-12.0,60.0,0.0,1.0,,0.0
2024_06_JAX_CHI,2024,6,JAX,CHI,1.5,45.0,1.499999999999996,45.0,0.38,0.56,AWAY,OVER,35.0,16.0,13.920906449295801,12.173707044576672,19.0,51.0,1.0,1.0,0.0,1.0
2024_06_WAS_BAL,2024,6,WAS,BAL,-7.0,51.5,-6.903476394849784,51.59652360515022,0.48,0.5,,,30.0,23.0,16.80755491382911,14.380682213334136,7.0,53.0,1.0,1.0,,
