game_id,season,week,away_team,home_team,spread_line,total_line,spread_mean,total_mean,spread_sd,total_sd,spread_raw,spread_raw_sd,total_raw,total_raw_sd,p_home_cover,p_away_cover,p_over,p_under,p_home_cover_centered,p_over_centered,calibration_method,spread_bet,spread_edge,spread_conviction,total_bet,total_edge,total_conviction,actual_home_score,actual_away_score,actual_spread,actual_total,spread_result,total_result
2023_11_PHI_KC,2023,11,PHI,KC,2.5,46.0,2.4999999999999973,46.00000000000001,10.959391812169132,10.507549091340499,-6.83,11.709871903654625,49.15,11.227087779117076,0.29234691253911527,0.7076530874608847,0.7758949307805683,0.22410506921943174,0.43,0.44,linear,AWAY,0.1836530874608847,HIGH,OVER,0.25,HIGH,17.0,21.0,-4.0,38.0,1.0,0.0
2023_12_GB_DET,2023,12,GB,DET,8.5,47.0,8.500000000000002,46.99999999999999,11.649137752605343,11.831811195577085,12.94,11.34179879913235,45.76,11.519652772544838,0.4609744179945202,0.5390255820054798,0.6859132706298553,0.3140867293701447,0.56,0.49,linear,AWAY,0.015025582005479765,LOW,OVER,0.16191327062985528,HIGH,22.0,29.0,-7.0,51.0,1.0,1.0
2023_12_WAS_DAL,2023,12,WAS,DAL,13.0,48.0,12.563643423137874,48.43635657686212,16.921088508129035,15.95732608625877,3.33,11.444697462143768,31.55,10.843777017257409,0.16608393481526296,0.833916065184737,0.37221640951746227,0.6277835904825377,0.49,0.43,linear,AWAY,0.25,HIGH,UNDER,0.10378359048253771,HIGH,45.0,10.0,35.0,55.0,0.0,0.0
2023_12_SF_SEA,2023,12,SF,SEA,-7.0,43.5,-7.009413865546223,43.50941386554623,12.681319475206143,10.556728762642804,-9.72,13.898978379722735,47.6,11.574973002128342,0.5415405430969213,0.45845945690307865,0.8092482683804829,0.19075173161951708,0.43,0.6,linear,HOME,0.017540543096921324,LOW,OVER,0.25,HIGH,13.0,31.0,-18.0,44.0,0.0,1.0
2023_12_MIA_NYJ,2023,12,MIA,NYJ,-9.5,40.0,-9.500000000000005,40.00000000000001,8.837375528091497,8.511750217646664,-31.13,9.064937947939853,41.03,8.730927785751065,0.18065197435135194,0.8193480256486481,0.8710556096515503,0.12894439034844973,0.49,0.52,linear,AWAY,0.25,HIGH,OVER,0.25,HIGH,13.0,34.0,-21.0,47.0,1.0,1.0
2023_12_NO_ATL,2023,12,NO,ATL,-2.0,42.0,-1.690696202531646,42.30930379746835,16.574535234457198,17.15592357618215,5.6,10.234256201600584,25.28,10.565112398834193,0.6942252858920664,0.30577471410793355,0.4579707355439858,0.5420292644560142,0.58,0.51,linear,HOME,0.17022528589206642,HIGH,UNDER,0.01802926445601416,LOW,24.0,15.0,9.0,39.0,1.0,1.0
2023_12_PIT_CIN,2023,12,PIT,CIN,-2.0,36.0,-1.9999999999999978,36.00000000000001,18.344208895452542,17.24991594182418,2.55,9.172104447726271,14.01,8.62495797091209,0.6468389219303754,0.3531610780696246,0.428676521670903,0.571323478329097,0.45,0.38,linear,HOME,0.12283892193037538,HIGH,UNDER,0.047323478329097,MEDIUM,10.0,16.0,-6.0,26.0,0.0,1.0
2023_12_JAX_HOU,2023,12,JAX,HOU,-1.0,48.0,-0.7690830636461721,48.230916936353836,18.368092336794838,18.738595180691284,7.61,10.816556753422043,27.81,11.066792669965405,0.6894099456221601,0.31059005437783993,0.30418979957749315,0.6958102004225069,0.4,0.58,linear,HOME,0.16540994562216005,HIGH,UNDER,0.17181020042250683,HIGH,21.0,24.0,-3.0,45.0,0.0,1.0
2023_12_TB_IND,2023,12,TB,IND,2.5,45.0,2.264124999999998,45.23587499999999,18.160317221296687,20.41506811042092,-2.86,9.908602323234089,24.0,10.974515934655159,0.33829591631331035,0.6617040836866896,0.32940075907768096,0.670599240922319,0.43,0.45,linear,AWAY,0.13770408368668963,HIGH,UNDER,0.14659924092231902,HIGH,27.0,20.0,7.0,47.0,0.0,0.0
2023_12_NE_NYG,2023,12,NE,NYG,-4.5,36.5,-4.5000000000000036,36.5,14.206069125553348,13.562816816576122,0.87,7.103034562776673,7.05,6.781408408288061,0.7591184762852206,0.24088152371477944,0.18716888779442886,0.8128311122055711,0.38,0.32,linear,HOME,0.23511847628522053,HIGH,UNDER,0.25,HIGH,10.0,7.0,3.0,17.0,1.0,1.0
