game_id,season,week,away_team,home_team,spread_line,total_line,p_home_cover,p_over,actual_spread,actual_total,home_covered,over_hit,has_pff
2024_05_ARI_SF,2024,5,ARI,SF,-7.5,48.5,0.48,0.52,-1.0,47.0,1.0,0.0,False
2024_05_NYG_SEA,2024,5,NYG,SEA,-7.0,42.5,0.4,0.44,-9.0,49.0,0.0,1.0,True
2024_05_DAL_PIT,2024,5,DAL,PIT,-3.0,43.5,0.6,0.4,-3.0,37.0,,0.0,True
2024_05_NO_KC,2024,5,NO,KC,-5.5,43.0,0.5,0.46,13.0,39.0,1.0,0.0,True
2024_06_SF_SEA,2024,6,SF,SEA,3.5,49.0,0.48,0.52,-12.0,60.0,0.0,1.0,True
2024_06_JAX_CHI,2024,6,JAX,CHI,1.5,44.5,0.42,0.46,19.0,51.0,1.0,1.0,True
2024_06_WAS_BAL,2024,6,WAS,BAL,-7.0,51.5,0.54,0.48,7.0,53.0,1.0,1.0,False
2024_06_ARI_GB,2024,6,ARI,GB,-5.5,47.0,0.5,0.56,21.0,47.0,1.0,,False
2024_06_HOU_NE,2024,6,HOU,NE,6.5,38.5,0.38,0.48,-20.0,62.0,0.0,1.0,False
2024_06_TB_NO,2024,6,TB,NO,3.5,42.5,0.56,0.48,-24.0,78.0,0.0,1.0,True
2024_06_CLE_PHI,2024,6,CLE,PHI,-8.5,42.0,0.58,0.56,4.0,36.0,1.0,0.0,False
2024_06_IND_TEN,2024,6,IND,TEN,-3.0,42.0,0.48,0.52,-3.0,37.0,,0.0,True
2024_06_LAC_DEN,2024,6,LAC,DEN,3.0,37.0,0.42,0.46,-7.0,39.0,0.0,1.0,True
2024_06_PIT_LV,2024,6,PIT,LV,3.0,36.5,0.42,0.58,-19.0,45.0,0.0,1.0,True
2024_06_ATL_CAR,2024,6,ATL,CAR,6.0,45.5,0.4,0.56,-18.0,58.0,0.0,1.0,True
2024_06_DET_DAL,2024,6,DET,DAL,3.5,52.5,0.54,0.54,-38.0,56.0,0.0,1.0,True
2024_06_CIN_NYG,2024,6,CIN,NYG,3.5,46.0,0.5,0.56,-10.0,24.0,0.0,0.0,True
2024_06_BUF_NYJ,2024,6,BUF,NYJ,1.0,42.0,0.6,0.4,-3.0,43.0,0.0,1.0,True
2024_07_DEN_NO,2024,7,DEN,NO,3.0,37.0,0.52,0.44,-23.0,43.0,0.0,1.0,True
2024_07_NE_JAX,2024,7,NE,JAX,-6.5,42.0,0.46,0.46,16.0,48.0,1.0,1.0,True
2024_07_SEA_ATL,2024,7,SEA,ATL,-3.0,51.5,0.54,0.52,-20.0,48.0,0.0,0.0,True
2024_07_TEN_BUF,2024,7,TEN,BUF,-9.0,41.0,0.44,0.5,24.0,44.0,1.0,1.0,True
2024_07_CIN_CLE,2024,7,CIN,CLE,5.5,42.0,0.48,0.5,-7.0,35.0,0.0,0.0,False
2024_07_HOU_GB,2024,7,HOU,GB,-3.0,48.0,0.52,0.44,2.0,46.0,1.0,0.0,False
2024_07_MIA_IND,2024,7,MIA,IND,-3.0,44.0,0.54,0.5,6.0,26.0,1.0,0.0,True
