away,home,pred_score,actual_score,winner_correct,spread_error,total_error,model_spread,actual_margin,model_total,actual_total,spread_bet_correct,week
LA,TEN,35.7-16.1,33-19,True,5.552071868363896,0.0712271048446524,-19.552071868363896,-14,51.92877289515535,52,True,2
NE,MIA,32.2-30.4,33-27,True,4.220024926758234,2.524194098707099,-1.7799750732417658,-6,62.5241940987071,60,False,2
SF,NO,23.2-17.8,26-21,True,0.4357060951562816,5.8983183204551395,-5.435706095156282,-5,41.10168167954486,47,False,2
BUF,NYJ,27.3-21.1,30-10,True,13.84114014437154,8.26918502755732,-6.158859855628461,-20,48.26918502755732,40,False,2
SEA,PIT,32.1-34.1,31-17,False,15.955821477906465,18.29118238669038,1.955821477906463,-14,66.29118238669038,48,True,2
DEN,IND,34.1-42.4,28-29,True,7.411345538540566,19.73983982516708,8.411345538540566,1,76.73983982516708,57,False,2
CAR,ARI,24.2-27.7,22-27,True,1.5315136130043605,2.9370828013336734,3.4684863869956395,5,51.93708280133367,49,False,2
PHI,KC,28.3-33.7,20-17,False,8.429577804434679,25.00262122007303,5.429577804434679,-3,62.00262122007303,37,True,2
ATL,MIN,20.5-24.7,22-6,False,20.191390547741733,17.18952315564065,4.191390547741732,-16,45.18952315564065,28,False,2
TB,HOU,28.5-33.0,20-19,False,5.549458505090113,22.555451515748793,4.549458505090113,-1,61.55545151574879,39,False,2
LAC,LV,31.9-16.9,20-9,True,3.929854013390772,19.75299151706878,-14.929854013390772,-11,48.75299151706878,29,True,2
MIA,BUF,24.7-28.6,21-31,True,6.158552702154022,1.332985929082895,3.841447297845978,10,53.332985929082895,52,True,3
GB,CLE,25.6-17.7,10-13,False,10.88039079028922,20.290976444006983,-7.880390790289218,3,43.290976444006986,23,True,3
IND,TEN,41.2-16.1,41-20,True,3.9803999336888864,3.657215046094592,-24.980399933688886,-21,57.34278495390541,61,True,3
PIT,NE,32.8-33.5,21-14,False,7.614619189422776,31.199616233646022,0.6146191894227757,-7,66.19961623364603,35,True,3
LA,PHI,30.1-29.5,26-33,False,7.577011862052352,0.6833143126082106,-0.5770118620523517,7,59.68331431260821,59,False,3
NYJ,TB,21.3-27.2,27-29,True,3.9611001416833345,7.503688300204907,5.9611001416833345,2,48.49631169979509,56,False,3
LV,WAS,13.0-27.2,24-41,True,2.7656990109073956,24.747103185938705,14.234300989092604,17,40.252896814061295,65,True,3
HOU,JAX,31.7-24.4,10-17,False,14.331458128714493,29.032862764278775,-7.331458128714493,7,56.032862764278775,27,True,3
DEN,LAC,34.1-33.1,20-23,False,3.956894336073064,24.168746516325623,-0.9568943360730638,3,67.16874651632563,43,True,3
DAL,CHI,34.3-21.4,14-31,False,30.029327070926065,10.747953420161714,-13.029327070926062,17,55.747953420161714,45,False,3
ARI,SF,26.4-24.6,15-16,False,2.760206787434526,20.051479072437058,-1.7602067874345266,1,51.051479072437054,31,False,3
KC,NYG,32.4-25.6,22-9,True,6.24235637411376,27.01602655831804,-6.75764362588624,-13,58.01602655831804,31,False,3
DET,BAL,30.7-18.3,38-30,True,4.3865391736185035,19.020558329413788,-12.386539173618504,-8,48.97944167058621,68,False,3
SEA,ARI,32.4-27.7,23-20,True,1.758230282807924,17.06084678601124,-4.758230282807924,-3,60.06084678601124,43,False,4
MIN,PIT,23.4-34.1,21-24,True,7.857173603352331,12.510069343100106,10.857173603352331,3,57.510069343100106,45,False,4
WAS,ATL,30.5-21.8,27-34,False,15.80724439226316,8.662578413818608,-8.80724439226316,7,52.33742158618139,61,False,4
NO,BUF,14.0-28.6,19-31,True,2.7056833295962956,7.353626048776363,14.705683329596296,12,42.64637395122364,50,False,4
