game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,away_score,home_score,margin,total,spread_close,spread_open,total_close,total_open
2024_08_BUF_SEA,2024,8,BUF,SEA,-2.4286128663675302e-17,-5.551115123125783e-17,3,0,3.122502256758253e-17,0,1,3,5,0,0,0,0,0.7549138908586195,31,10,21,41,,,,
2024_08_CAR_DEN,2024,8,CAR,DEN,0.0,-2.775557561562892e-17,5,5,2.775557561562892e-17,0,0,0,1,1,0,0,0,0.6724154201238071,14,28,-14,42,,,,
2024_08_KC_LV,2024,8,KC,LV,-8.326672684688674e-17,0.0,0,0,-8.326672684688674e-17,1,1,5,5,0,0,0,0,-1.9675356433901885,27,20,7,47,,,,
2024_08_CHI_WAS,2024,8,CHI,WAS,0.0,0.0,1,3,0.0,0,0,4,3,0,0,0,0,0.0124276542453082,15,18,-3,33,,,,
2024_08_DAL_SF,2024,8,DAL,SF,-2.775557561562892e-17,-1.3877787807814457e-17,3,0,-1.3877787807814457e-17,0,1,2,5,0,0,0,0,-0.3175662286939411,24,30,-6,54,,,,
2024_08_NYG_PIT,2024,8,NYG,PIT,0.0,-5.551115123125783e-17,1,3,5.551115123125783e-17,0,0,4,3,0,0,0,0,1.332403186002306,18,26,-8,44,,,,
2024_09_HOU_NYJ,2024,9,HOU,NYJ,0.0,-5.551115123125783e-17,3,3,5.551115123125783e-17,0,0,3,1,0,0,0,0,1.332403186002306,13,21,-8,34,,,,
2024_09_DAL_ATL,2024,9,DAL,ATL,-5.551115123125783e-17,0.0,0,0,-5.551115123125783e-17,1,1,5,5,0,0,0,0,-1.307547877511689,21,27,-6,48,,,,
2024_09_DEN_BAL,2024,9,DEN,BAL,0.0,-2.775557561562892e-17,5,0,2.775557561562892e-17,0,1,1,5,0,0,0,0,0.6724154201238071,10,41,-31,51,,,,
2024_09_MIA_BUF,2024,9,MIA,BUF,0.0,0.0,0,0,0.0,1,1,5,5,1,0,0,0,0.0124276542453082,27,30,-3,57,,,,
2024_09_NO_CAR,2024,9,NO,CAR,-5.551115123125783e-17,0.0,1,3,-5.551115123125783e-17,0,0,4,2,0,1,0,0,-1.307547877511689,22,23,-1,45,,,,
2024_09_LV_CIN,2024,9,LV,CIN,-5.551115123125783e-17,-2.775557561562892e-17,2,3,-2.775557561562892e-17,0,0,2,3,1,0,0,0,-0.6475601116331906,24,41,-17,65,,,,
2024_09_LAC_CLE,2024,9,LAC,CLE,-5.551115123125783e-17,-5.551115123125783e-17,0,3,0.0,1,0,5,3,0,0,0,0,0.0124276542453082,27,10,17,37,,,,
2024_09_WAS_NYG,2024,9,WAS,NYG,-6.938893903907227e-17,-2.775557561562892e-17,3,3,-4.163336342344337e-17,0,0,2,3,0,0,0,0,-0.97755399457244,27,22,5,49,,,,
2024_09_NE_TEN,2024,9,NE,TEN,0.0,-5.551115123125783e-17,3,2,5.551115123125783e-17,0,0,3,2,1,0,0,0,1.332403186002306,17,20,-3,37,,,,
2024_09_CHI_ARI,2024,9,CHI,ARI,0.0,0.0,1,0,0.0,0,1,0,5,0,0,0,0,0.0124276542453082,9,29,-20,38,,,,
2024_09_JAX_PHI,2024,9,JAX,PHI,-5.551115123125783e-17,-5.551115123125783e-17,1,4,0.0,0,0,4,1,0,1,0,0,0.0124276542453082,23,28,-5,51,,,,
2024_09_DET_GB,2024,9,DET,GB,-5.551115123125783e-17,-1.3877787807814457e-17,3,3,-4.163336342344337e-17,0,0,3,2,0,1,0,0,-0.97755399457244,24,14,10,38,,,,
2024_09_IND_MIN,2024,9,IND,MIN,0.0,0.0,1,4,0.0,0,0,4,1,0,0,0,0,0.0124276542453082,13,21,-8,34,,,,
2024_09_TB_KC,2024,9,TB,KC,-5.551115123125783e-17,-2.775557561562892e-17,0,0,-2.775557561562892e-17,1,1,5,5,0,0,0,0,-0.6475601116331906,24,30,-6,54,,,,
2024_10_CIN_BAL,2024,10,CIN,BAL,-2.775557561562892e-17,-4.163336342344337e-17,0,3,1.3877787807814457e-17,1,0,5,3,0,0,0,0,0.3424215371845577,34,35,-1,69,,,,
2024_10_NYG_CAR,2024,10,NYG,CAR,-8.326672684688674e-17,0.0,1,3,-8.326672684688674e-17,0,0,4,2,0,1,0,0,-1.9675356433901885,17,20,-3,37,,,,
2024_10_NE_CHI,2024,10,NE,CHI,-5.551115123125783e-17,0.0,5,1,-5.551115123125783e-17,0,0,1,0,1,0,0,0,-1.307547877511689,19,3,16,22,,,,
2024_10_BUF_IND,2024,10,BUF,IND,-2.775557561562892e-17,-8.326672684688674e-17,3,3,5.551115123125783e-17,0,0,3,2,0,0,0,0,1.332403186002306,30,20,10,50,,,,
2024_10_MIN_JAX,2024,10,MIN,JAX,-1.3877787807814457e-17,0.0,3,4,-1.3877787807814457e-17,0,0,3,1,0,0,0,0,-0.3175662286939411,12,7,5,19,,,,
2024_10_DEN_KC,2024,10,DEN,KC,-5.551115123125783e-17,0.0,3,1,-5.551115123125783e-17,0,0,2,4,0,0,0,0,-1.307547877511689,14,16,-2,30,,,,
2024_10_ATL_NO,2024,10,ATL,NO,0.0,-3.4694469519536136e-17,0,4,3.4694469519536136e-17,1,0,5,1,0,0,0,0,0.8374123615934318,17,20,-3,37,,,,
