week,away,home,season,spread_open,total_open,spread_close,total_close,spread_movement,total_movement,divisional,travel_distance,travel_long,travel_medium,away_ol_continuity,home_ol_continuity,away_ol_penalty,home_ol_penalty
2,NO,SEA,2025,-7.0,41.5,-7.5,41.5,-0.5,0.0,0,0,0,0,5,5,0,0
2,NYJ,TB,2025,-6.0,44.5,-7.0,44.5,-1.0,0.0,0,0,0,0,5,5,0,0
2,PIT,NE,2025,1.5,42.5,1.5,44.5,0.0,2.0,0,0,0,0,5,5,0,0
2,TB,HOU,2025,-2.5,42.5,-2.5,42.5,0.0,0.0,0,0,0,0,5,5,0,0
3,BAL,KC,2025,2.5,48.5,2.5,48.5,0.0,0.0,0,0,0,0,5,5,0,0
3,CAR,NE,2025,-6.0,44.5,-5.5,44.5,0.5,0.0,0,0,0,0,5,5,0,0
3,CHI,LV,2025,-1.5,46.5,1.5,47.5,3.0,1.0,0,0,0,0,5,5,0,0
3,CIN,DEN,2025,-6.5,44.5,-7.5,44.5,-1.0,0.0,0,0,0,0,5,5,0,0
3,CLE,DET,2025,-10.5,47.5,-8.5,45.5,2.0,-2.0,0,0,0,0,5,5,0,0
3,DET,BAL,2025,-4.5,53.5,-4.5,53.5,0.0,0.0,0,0,0,0,5,5,0,0
3,GB,DAL,2025,4.5,48.5,6.5,47.5,2.0,-1.0,0,0,0,0,5,5,0,0
3,IND,LA,2025,-5.5,47.5,-3.5,48.5,2.0,1.0,0,0,0,0,5,5,0,0
3,JAX,SF,2025,-4.5,46.5,-3.5,46.5,1.0,0.0,0,0,0,0,5,5,0,0
3,LAC,NYG,2025,5.5,45.5,6.0,44.5,0.5,-1.0,0,0,0,0,5,5,0,0
3,MIN,PIT,2025,-1.5,41.5,2.5,41.5,4.0,0.0,0,0,0,0,5,5,0,0
3,NO,BUF,2025,-14.5,47.5,-15.5,48.5,-1.0,1.0,0,0,0,0,5,5,0,0
3,NYJ,MIA,2025,-2.5,44.5,-2.5,45.5,0.0,1.0,0,0,0,0,5,5,0,0
3,PHI,TB,2025,2.5,45.5,3.0,44.5,0.5,-1.0,0,0,0,0,5,5,0,0
3,SEA,ARI,2025,-1.5,43.5,-1.5,43.5,0.0,0.0,0,0,0,0,5,5,0,0
3,TEN,HOU,2025,-6.5,41.5,-7.0,39.5,-0.5,-2.0,0,0,0,0,5,5,0,0
3,WAS,ATL,2025,1.5,45.5,3.0,45.5,1.5,0.0,0,0,0,0,5,5,0,0
4,CIN,DEN,2025,-7.5,44.5,-7.5,44.5,0.0,0.0,0,0,0,0,5,5,0,0
4,DAL,NYJ,2025,1.5,46.5,2.5,46.5,1.0,0.0,0,0,0,0,5,5,0,0
4,DEN,PHI,2025,-5.5,43.5,-4.5,43.5,1.0,0.0,0,0,0,0,5,5,0,0
4,DET,CIN,2025,7.5,49.5,8.5,48.5,1.0,-1.0,0,0,0,0,5,5,0,0
4,HOU,BAL,2025,-9.5,45.5,-4.5,43.5,5.0,-2.0,0,0,0,0,5,5,0,0
4,KC,JAX,2025,3.5,44.5,3.5,45.5,0.0,1.0,0,0,0,0,5,5,0,0
4,LV,IND,2025,-6.0,48.5,-7.0,47.5,-1.0,-1.0,0,0,0,0,5,5,0,0
4,MIA,CAR,2025,-1.5,44.5,1.5,46.5,3.0,2.0,0,0,0,0,5,5,0,0
4,MIN,CLE,2025,4.5,38.5,3.5,36.5,-1.0,-2.0,0,0,0,0,5,5,0,0
4,NE,BUF,2025,-10.0,49.5,-7.5,49.5,2.5,0.0,0,0,0,0,5,5,0,0
4,NYG,NO,2025,2.5,43.5,-1.5,40.5,-4.0,-3.0,0,0,0,0,5,5,0,0
4,NYJ,MIA,2025,-2.5,45.5,-3.0,44.5,-0.5,-1.0,0,0,0,0,5,5,0,0
4,SF,LA,2025,-3.0,46.5,-5.5,47.5,-2.5,1.0,0,0,0,0,5,5,0,0
4,TB,SEA,2025,-1.5,44.5,-3.5,44.5,-2.0,0.0,0,0,0,0,5,5,0,0
4,TEN,ARI,2025,-7.5,42.5,-9.5,41.5,-2.0,-1.0,0,0,0,0,5,5,0,0
4,WAS,LAC,2025,-2.5,48.5,-3.0,47.5,-0.5,-1.0,0,0,0,0,5,5,0,0
5,ARI,IND,2025,-3.5,47.5,-5.5,47.5,-2.0,0.0,0,0,0,0,5,5,0,0
5,BUF,ATL,2025,5.5,50.5,3.5,48.5,-2.0,-2.0,0,0,0,0,5,5,0,0
5,CHI,WAS,2025,-5.5,50.5,-3.5,50.5,2.0,0.0,0,0,0,0,5,5,0,0
5,CIN,GB,2025,-13.5,44.5,-14.5,44.5,-1.0,0.0,0,0,0,0,5,5,0,0
5,CLE,PIT,2025,-5.5,38.5,-5.5,37.5,0.0,-1.0,0,0,0,0,5,5,0,0
5,DAL,CAR,2025,3.5,47.5,3.5,49.5,0.0,2.0,0,0,0,0,5,5,0,0
5,DEN,NYJ,2025,6.5,43.5,7.5,43.5,1.0,0.0,0,0,0,0,5,5,0,0
5,DET,KC,2025,-1.5,48.5,-1.5,49.5,0.0,1.0,0,0,0,0,5,5,0,0
5,KC,JAX,2025,3.5,46.5,3.5,45.5,0.0,-1.0,0,0,0,0,5,5,0,0
5,LA,BAL,2025,5.5,44.5,7.5,45.5,2.0,1.0,0,0,0,0,5,5,0,0
5,LAC,MIA,2025,5.5,45.5,4.5,43.5,-1.0,-2.0,0,0,0,0,5,5,0,0
5,NE,NO,2025,3.5,44.5,3.5,45.5,0.0,1.0,0,0,0,0,5,5,0,0
5,PHI,NYG,2025,7.0,42.5,7.0,41.5,0.0,-1.0,0,0,0,0,5,5,0,0
5,SEA,JAX,2025,-1.5,45.5,1.5,45.5,3.0,0.0,0,0,0,0,5,5,0,0
5,SF,TB,2025,-2.5,46.5,-3.0,47.5,-0.5,1.0,0,0,0,0,5,5,0,0
5,TEN,LV,2025,-6.5,41.5,-4.5,41.5,2.0,0.0,0,0,0,0,5,5,0,0
6,ATL,SF,2025,-4.5,45.5,-3.5,45.5,1.0,0.0,0,0,0,0,5,5,0,0
6,BUF,ATL,2025,4.5,49.5,4.5,49.5,0.0,0.0,0,0,0,0,5,5,0,0
6,CAR,NYJ,2025,-2.5,45.5,1.5,43.5,4.0,-2.0,0,0,0,0,5,5,0,0
6,CHI,WAS,2025,-4.5,49.5,-5.5,49.5,-1.0,0.0,0,0,0,0,5,5,0,0
6,GB,ARI,2025,5.5,45.5,6.5,44.5,1.0,-1.0,0,0,0,0,5,5,0,0
6,HOU,SEA,2025,-2.5,42.5,-3.5,40.5,-1.0,-2.0,0,0,0,0,5,5,0,0
6,IND,LAC,2025,-1.5,47.5,-1.5,48.5,0.0,1.0,0,0,0,0,5,5,0,0
6,LA,JAX,2025,3.5,47.5,3.0,44.5,-0.5,-3.0,0,0,0,0,5,5,0,0
6,LV,KC,2025,-10.5,45.5,-11.5,45.5,-1.0,0.0,0,0,0,0,5,5,0,0
6,MIA,CLE,2025,-2.5,42.5,-2.5,40.5,0.0,-2.0,0,0,0,0,5,5,0,0
6,NE,TEN,2025,6.0,43.5,7.0,42.5,1.0,-1.0,0,0,0,0,5,5,0,0
6,NO,CHI,2025,-6.0,45.5,-5.5,45.5,0.5,0.0,0,0,0,0,5,5,0,0
6,NYG,DEN,2025,-7.5,41.5,-6.5,40.5,1.0,-1.0,0,0,0,0,5,5,0,0
6,PHI,MIN,2025,2.5,42.5,2.5,42.5,0.0,0.0,0,0,0,0,5,5,0,0
6,PIT,CIN,2025,4.5,43.5,5.5,42.5,1.0,-1.0,0,0,0,0,5,5,0,0
6,TB,DET,2025,-4.5,53.5,-5.5,53.5,-1.0,0.0,0,0,0,0,5,5,0,0
6,WAS,DAL,2025,2.5,53.5,2.5,54.5,0.0,1.0,0,0,0,0,5,5,0,0
7,BUF,CAR,2025,7.0,48.5,7.5,46.5,0.5,-2.0,0,0,0,0,5,5,0,0
7,CHI,BAL,2025,-6.5,49.5,-6.5,50.5,0.0,1.0,0,0,0,0,5,5,0,0
7,CLE,NE,2025,-7.0,40.5,-6.5,40.5,0.5,0.0,0,0,0,0,5,5,0,0
7,DAL,DEN,2025,-4.5,47.5,-3.0,49.5,1.5,2.0,0,0,0,0,5,5,0,0
7,GB,PIT,2025,3.5,43.5,3.5,44.5,0.0,1.0,0,0,0,0,5,5,0,0
7,HOU,SEA,2025,-3.0,41.5,-3.0,41.5,0.0,0.0,0,0,0,0,5,5,0,0
7,MIA,ATL,2025,-6.0,45.5,-7.5,46.5,-1.5,1.0,0,0,0,0,5,5,0,0
7,MIN,LAC,2025,-3.0,42.5,-3.0,44.5,0.0,2.0,0,0,0,0,5,5,0,0
7,NYG,PHI,2025,-7.5,41.5,-7.0,44.5,0.5,3.0,0,0,0,0,5,5,0,0
7,NYJ,CIN,2025,-2.5,42.5,-6.5,44.5,-4.0,2.0,0,0,0,0,5,5,0,0
7,SF,HOU,2025,-1.5,43.5,-1.5,41.5,0.0,-2.0,0,0,0,0,5,5,0,0
7,TB,DET,2025,-5.5,52.5,-6.0,53.5,-0.5,1.0,0,0,0,0,5,5,0,0
7,TB,NO,2025,5.5,47.5,6.5,47.5,1.0,0.0,0,0,0,0,5,5,0,0
7,TEN,IND,2025,-11.5,44.5,-14.0,47.5,-2.5,3.0,0,0,0,0,5,5,0,0
7,WAS,KC,2025,-5.5,50.5,-10.5,48.5,-5.0,-2.0,0,0,0,0,5,5,0,0
