game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,spread_home_first,spread_home_last,total_first,total_last,spread_movement,total_movement,days_tracked,away_score,home_score,actual_margin,actual_total,spread_direction,predicted_direction,predicted_spread_close,bet,bet_side,clv,result
2024_02_ATL_PHI,2024,2,ATL,PHI,-6.938893903907227e-17,-5.551115123125783e-17,3,0,-1.3877787807814457e-17,0,1,3,5,0,1,0,0,-0.3175662286939411,-4.0,-5.5,48.5,46.0,-1.5,-2.5,15,22.0,21.0,1.0,43.0,0,1,-2.5,True,AWAY,-1.5,WIN
2024_03_NE_NYJ,2024,3,NE,NYJ,-5.551115123125783e-17,-2.775557561562892e-17,1,3,-2.775557561562892e-17,0,0,4,3,0,0,0,0,-0.6475601116331906,-7.5,-6.0,42.0,38.5,1.5,-3.5,18,3.0,24.0,-21.0,27.0,1,1,-6.0,True,AWAY,1.5,LOSS
2024_03_NYG_CLE,2024,3,NYG,CLE,0.0,-5.551115123125783e-17,0,3,5.551115123125783e-17,1,0,5,1,0,0,0,0,1.332403186002306,-6.5,-6.5,42.5,38.5,0.0,-4.0,21,21.0,15.0,6.0,36.0,0,0,-8.0,True,HOME,0.0,LOSS
2024_03_CHI_IND,2024,3,CHI,IND,0.0,-5.551115123125783e-17,3,0,5.551115123125783e-17,0,1,2,5,0,0,0,0,1.332403186002306,-2.0,-1.0,47.0,44.0,1.0,-3.0,21,16.0,21.0,-5.0,37.0,1,0,-3.5,True,HOME,-1.0,WIN
2024_03_HOU_MIN,2024,3,HOU,MIN,-5.551115123125783e-17,0.0,1,0,-5.551115123125783e-17,0,1,4,5,0,0,0,0,-1.307547877511689,4.5,1.5,46.5,46.5,-3.0,0.0,21,7.0,34.0,-27.0,41.0,0,0,3.0,True,HOME,3.0,WIN
2024_03_PHI_NO,2024,3,PHI,NO,0.0,-8.326672684688674e-17,4,1,8.326672684688674e-17,0,0,0,4,1,0,0,0,1.9923909518808047,3.0,-2.5,45.0,49.5,-5.5,4.5,17,15.0,12.0,3.0,27.0,0,0,1.5,True,HOME,5.5,PUSH
2024_03_LAC_PIT,2024,3,LAC,PIT,-5.551115123125783e-17,0.0,4,2,-5.551115123125783e-17,0,0,2,3,0,0,0,0,-1.307547877511689,-3.0,-1.5,42.5,35.5,1.5,-7.0,17,10.0,20.0,-10.0,30.0,1,1,-1.5,True,AWAY,1.5,LOSS
2024_03_DEN_TB,2024,3,DEN,TB,-4.163336342344337e-17,0.0,3,0,-4.163336342344337e-17,0,1,2,5,0,0,0,0,-0.97755399457244,-3.5,-6.5,43.0,40.0,-3.0,-3.0,17,26.0,7.0,19.0,33.0,0,1,-2.0,True,AWAY,-3.0,WIN
2024_03_GB_TEN,2024,3,GB,TEN,-8.326672684688674e-17,0.0,3,1,-8.326672684688674e-17,0,0,3,0,0,0,0,0,-1.9675356433901885,3.5,-3.0,44.0,37.5,-6.5,-6.5,21,30.0,14.0,16.0,44.0,0,0,2.0,True,HOME,6.5,LOSS
2024_03_CAR_LV,2024,3,CAR,LV,-2.775557561562892e-17,0.0,3,3,-2.775557561562892e-17,0,0,3,2,0,0,0,0,-0.6475601116331906,-4.0,-6.0,42.0,40.0,-2.0,-2.0,21,36.0,22.0,14.0,58.0,0,1,-2.5,True,AWAY,-2.0,WIN
