week,game,bet_type,bet_side,line,edge,stake,result,profit,actual_margin,actual_total,predicted_margin,predicted_total,confidence
2,NE@MIA,total,over,43.18181818181818,5.8112593853037,58.333333333333336,WIN,53.025000000000006,-6,60,-1.3283090755009948,48.99307756712188,0.5833333333333334
2,SF@NO,spread,away,3.0,2.429925570590364,61.66666666666667,WIN,56.05500000000001,-5,47,0.5700744294096358,40.84409138209723,0.6166666666666667
2,BUF@NYJ,spread,away,6.2272727272727275,3.7036885717316554,65.0,WIN,59.085,-20,40,2.523584155541072,47.129576968846514,0.65
2,SEA@PIT,spread,home,-3.0,1.5169761965121884,58.333333333333336,LOSS,-58.333333333333336,-14,48,-1.4830238034878116,47.78412322008127,0.5833333333333334
2,SEA@PIT,total,over,39.90909090909091,7.875032310990363,58.333333333333336,WIN,53.025000000000006,-14,48,-1.4830238034878116,47.78412322008127,0.5833333333333334
2,CLE@BAL,spread,home,-11.636363636363637,3.865801633519565,58.333333333333336,WIN,53.025000000000006,24,58,-7.770562002844072,42.24605604225556,0.5833333333333334
2,CLE@BAL,total,under,45.0,2.75394395774444,58.333333333333336,LOSS,-58.333333333333336,24,58,-7.770562002844072,42.24605604225556,0.5833333333333334
2,DEN@IND,spread,home,1.3636363636363635,1.895573917906291,65.0,LOSS,-65.0,1,57,3.2592102815426545,53.01078634061499,0.65
2,DEN@IND,total,over,43.31818181818182,9.692604522433172,65.0,WIN,59.085,1,57,3.2592102815426545,53.01078634061499,0.65
2,CAR@ARI,spread,home,-6.545454545454546,3.034614568713791,61.66666666666667,WIN,56.05500000000001,5,49,-3.5108399767407548,46.3000183818129,0.6166666666666667
2,CAR@ARI,total,over,43.81818181818182,2.4818365636310773,61.66666666666667,WIN,56.05500000000001,5,49,-3.5108399767407548,46.3000183818129,0.6166666666666667
2,PHI@KC,spread,home,0.9090909090909092,1.6907911358972996,65.0,LOSS,-65.0,-3,37,2.5998820449882087,54.588848129367804,0.65
2,PHI@KC,total,over,46.86363636363637,7.725211765731437,65.0,LOSS,-65.0,-3,37,2.5998820449882087,54.588848129367804,0.65
2,ATL@MIN,spread,home,-3.5,2.319544175168796,61.66666666666667,LOSS,-61.66666666666667,-16,28,-1.180455824831204,44.79659075262068,0.6166666666666667
2,TB@HOU,spread,home,-2.409090909090909,2.0901575199150875,61.66666666666667,WIN,56.05500000000001,-1,39,-0.3189333891758217,48.31003476157572,0.6166666666666667
2,TB@HOU,total,over,42.63636363636363,5.673671125212088,61.66666666666667,LOSS,-61.66666666666667,-1,39,-0.3189333891758217,48.31003476157572,0.6166666666666667
2,LAC@LV,spread,away,3.363636363636364,5.433471941033337,65.0,WIN,59.085,-11,29,-2.069835577396973,47.10224380646513,0.65
3,MIA@BUF,spread,home,-11.727272727272728,4.623632337079902,61.66666666666667,WIN,56.05500000000001,10,52,-7.103640390192826,51.24012614787168,0.6166666666666667
3,GB@CLE,spread,away,7.681818181818182,4.659443283992911,65.0,WIN,59.085,3,23,3.0223748978252702,42.07588487929746,0.65
3,IND@TEN,spread,away,4.0,8.023848360427126,65.0,WIN,59.085,-21,61,-4.023848360427126,47.518737720584845,0.65
3,IND@TEN,total,over,43.5,4.018737720584845,65.0,WIN,59.085,-21,61,-4.023848360427126,47.518737720584845,0.65
3,CIN@MIN,spread,away,-3.0,1.8754623827170853,65.0,LOSS,-65.0,38,58,-4.875462382717085,47.22878093088229,0.65
3,CIN@MIN,total,over,42.31818181818182,4.910599112700467,65.0,WIN,59.085,38,58,-4.875462382717085,47.22878093088229,0.65
3,PIT@NE,total,over,44.5,6.406591112293171,58.333333333333336,LOSS,-58.333333333333336,-7,35,1.16772207448399,50.90659111229317,0.5833333333333334
3,NYJ@TB,spread,home,-6.636363636363637,3.7430139375496463,61.66666666666667,WIN,56.05500000000001,2,56,-2.8933496988139904,45.201568277941924,0.6166666666666667
3,NYJ@TB,total,over,43.59090909090909,1.6106591870328302,61.66666666666667,WIN,56.05500000000001,2,56,-2.8933496988139904,45.201568277941924,0.6166666666666667
3,HOU@JAX,spread,away,-1.318181818181818,1.8058454400323791,65.0,LOSS,-65.0,7,27,-3.124027258214197,47.58758320537806,0.65
3,HOU@JAX,total,over,43.86363636363637,3.723946841741693,65.0,LOSS,-65.0,7,27,-3.124027258214197,47.58758320537806,0.65
3,DEN@LAC,total,over,45.86363636363637,6.34453416221114,58.333333333333336,LOSS,-58.333333333333336,3,43,-2.1487004693619935,52.20817052584751,0.5833333333333334
3,NO@SEA,spread,home,-7.454545454545454,7.339808070645422,65.0,WIN,59.085,31,57,-0.11473738390003252,43.99698090974639,0.65
3,NO@SEA,total,over,41.54545454545455,2.451526364291844,65.0,WIN,59.085,31,57,-0.11473738390003252,43.99698090974639,0.65
3,DAL@CHI,spread,away,0.6363636363636364,3.8635732351085648,65.0,LOSS,-65.0,17,45,-3.2272095987449285,52.07110163484973,0.65
3,DAL@CHI,total,over,50.5,1.5711016348497324,65.0,LOSS,-65.0,17,45,-3.2272095987449285,52.07110163484973,0.65
3,KC@NYG,spread,away,6.045454545454546,3.953545808500671,65.0,WIN,59.085,-13,31,2.091908736953875,49.03636914246951,0.65
3,KC@NYG,total,over,45.09090909090909,3.945460051560417,65.0,LOSS,-65.0,-13,31,2.091908736953875,49.03636914246951,0.65
3,DET@BAL,spread,away,-4.7272727272727275,2.2153653756325236,65.0,WIN,59.085,-8,68,-6.942638102905251,51.66219418243359,0.65
4,SEA@ARI,spread,away,1.4090909090909092,1.7539800950526165,61.66666666666667,WIN,56.05500000000001,-3,43,-0.34488918596170737,48.37154787887067,0.6166666666666667
4,SEA@ARI,total,over,43.40909090909091,4.962456969779765,61.66666666666667,LOSS,-61.66666666666667,-3,43,-0.34488918596170737,48.37154787887067,0.6166666666666667
4,MIN@PIT,spread,home,2.4545454545454546,2.47626946923168,65.0,WIN,59.085,3,45,4.930814923777135,45.68618546690871,0.65
4,MIN@PIT,total,over,40.63636363636363,5.049821830545078,65.0,WIN,59.085,3,45,4.930814923777135,45.68618546690871,0.65
4,NO@BUF,spread,home,-15.590909090909092,8.931030581351905,65.0,WIN,59.085,12,50,-6.659878509557187,46.693902590708724,0.65
4,CLE@DET,spread,home,-9.863636363636363,8.287271683684478,65.0,WIN,59.085,24,44,-1.576364679951885,47.98676456538192,0.65
4,CLE@DET,total,over,44.31818181818182,3.668582747200098,65.0,LOSS,-65.0,24,44,-1.576364679951885,47.98676456538192,0.65
4,CAR@NE,spread,home,-5.318181818181818,4.44922646494847,65.0,WIN,59.085,29,55,-0.868955353233348,47.28478779835278,0.65
4,CAR@NE,total,over,42.81818181818182,4.466605980170961,65.0,WIN,59.085,29,55,-0.868955353233348,47.28478779835278,0.65
4,LAC@NYG,spread,away,6.454545454545454,2.223357716179061,58.333333333333336,WIN,53.025000000000006,3,39,4.231187738366393,46.44631903335186,0.5833333333333334
4,LAC@NYG,total,over,43.63636363636363,2.8099553969882294,58.333333333333336,LOSS,-58.333333333333336,3,39,4.231187738366393,46.44631903335186,0.5833333333333334
4,PHI@TB,spread,away,3.5,1.9697465249414914,61.66666666666667,WIN,56.05500000000001,-6,56,1.5302534750585086,47.95749153948853,0.6166666666666667
4,PHI@TB,total,over,43.81818181818182,4.139309721306709,61.66666666666667,WIN,56.05500000000001,-6,56,1.5302534750585086,47.95749153948853,0.6166666666666667
4,TEN@HOU,spread,home,-7.045454545454546,7.542503330076571,65.0,WIN,59.085,26,26,0.4970487846220255,41.30521191346318,0.65
4,TEN@HOU,total,over,38.5,2.8052119134631823,65.0,LOSS,-65.0,26,26,0.4970487846220255,41.30521191346318,0.65
