week,game,bet_type,side,line,edge,result,profit,actual_margin,predicted_margin,opening_line,closing_line,clv,actual_total,predicted_total
5,WAS@LAC,spread,away,2.5,7.363412380218506,WIN,90.9,-17.0,-4.863412380218506,2.5,2.5,0.0,,
5,NE@BUF,spread,away,7.5,5.307091236114502,LOSS,-110.0,-3.0,2.192908763885498,8.5,7.5,-1.0,,
5,NE@BUF,total,over,49.5,2.5,LOSS,-110.0,,,49.5,49.5,0.0,43.0,52.0
5,KC@JAX,spread,home,3.5,1.8328807353973389,LOSS,-110.0,3.0,-1.6671192646026611,3.5,3.5,0.0,,
5,KC@JAX,total,over,45.5,6.880382061004639,WIN,90.9,,,46.5,45.5,-1.0,59.0,52.38038206100464
6,PHI@NYG,spread,home,7.0,15.609610557556152,WIN,90.9,17.0,8.609610557556152,7.0,7.0,0.0,,
6,PHI@NYG,total,over,40.5,7.076467037200928,WIN,90.9,,,40.5,40.5,0.0,51.0,47.57646703720093
6,DEN@NYJ,total,under,43.5,12.467303276062012,WIN,90.9,,,43.5,43.5,0.0,24.0,31.03269672393799
6,ARI@IND,total,over,46.5,7.537487506866455,WIN,90.9,,,46.5,46.5,0.0,58.0,54.037487506866455
6,LAC@MIA,total,over,45.5,10.145425796508789,WIN,90.9,,,44.5,45.5,1.0,56.0,55.64542579650879
6,NE@NO,spread,away,-3.5,6.965851306915283,WIN,90.9,-6.0,-10.465851306915283,-3.5,-3.5,0.0,,
6,CLE@PIT,spread,home,-6.0,7.738760471343994,WIN,90.9,14.0,13.738760471343994,-5.5,-6.0,-0.5,,
6,CLE@PIT,total,under,37.5,9.324967384338379,WIN,90.9,,,37.5,37.5,0.0,32.0,28.17503261566162
6,DAL@CAR,spread,home,3.0,1.756939172744751,PUSH,0.0,3.0,-1.243060827255249,3.0,3.0,0.0,,
6,DAL@CAR,total,over,47.5,3.8478517532348633,WIN,90.9,,,49.5,47.5,-2.0,57.0,51.34785175323486
6,SEA@JAX,spread,away,-1.5,1.75,WIN,90.9,-8.0,-3.25,-1.5,-1.5,0.0,,
6,SEA@JAX,total,under,47.5,11.5,WIN,90.9,,,47.5,47.5,0.0,32.0,36.0
6,LAR@BAL,total,under,43.5,14.699999809265137,WIN,90.9,,,44.5,43.5,1.0,20.0,28.800000190734863
6,TEN@LV,spread,home,-3.5,6.875,WIN,90.9,10.0,10.375,-3.5,-3.5,0.0,,
6,TEN@LV,total,under,41.5,11.727170944213867,WIN,90.9,,,41.5,41.5,0.0,30.0,29.772829055786133
6,CIN@GB,spread,home,-14.0,6.875,WIN,90.9,9.0,20.875,-14.0,-14.0,0.0,,
