week,away,home,closing_spread,closing_total,spread_price_home,spread_price_away,total_price_over,total_price_under,book_id,closing_time
2,TB,HOU,-2.5,42.5,-110,-110,-110,-110,draftkings,2025-09-15T22:00:00Z
2,LAC,LV,3.5,46.5,-115,-105,-118,-102,draftkings,2025-09-16T01:00:00Z
3,MIA,BUF,-12.5,49.5,-110,-110,-118,-102,draftkings,2025-09-18T23:15:00Z
3,GB,CLE,8.5,41.5,-118,-102,-112,-108,draftkings,2025-09-21T16:00:00Z
3,IND,TEN,5.5,43.5,-110,-110,-110,-110,draftkings,2025-09-21T16:00:00Z
3,CIN,MIN,-3.0,41.5,-110,-110,-115,-105,draftkings,2025-09-21T16:00:00Z
3,PIT,NE,1.5,44.5,-115,-105,-108,-112,draftkings,2025-09-21T16:00:00Z
3,LAR,PHI,-3.5,45.5,-112,-108,-112,-108,draftkings,2025-09-21T16:00:00Z
3,NYJ,TB,-6.5,43.5,-115,-105,-105,-115,draftkings,2025-09-21T16:00:00Z
3,LV,WAS,-2.5,43.5,-120,100,-110,-110,draftkings,2025-09-21T16:00:00Z
3,ATL,CAR,5.5,44.5,-115,-105,-105,-115,draftkings,2025-09-21T16:00:00Z
3,HOU,JAX,-1.5,43.5,-112,-108,-110,-110,draftkings,2025-09-21T16:00:00Z
3,DEN,LAC,-2.5,45.5,-120,100,-110,-110,draftkings,2025-09-21T19:05:00Z
3,NO,SEA,-7.5,41.5,-105,-115,-112,-108,draftkings,2025-09-21T19:05:00Z
3,DAL,CHI,1.5,49.5,-105,-115,-120,100,draftkings,2025-09-21T19:25:00Z
3,ARI,SF,-1.5,44.5,-108,-112,-108,-112,draftkings,2025-09-21T19:25:00Z
3,KC,NYG,6.0,44.5,-105,-115,-112,-108,draftkings,2025-09-21T23:20:00Z
3,DET,BAL,-4.5,53.5,-115,-105,-112,-108,draftkings,2025-09-22T23:15:00Z
4,SEA,ARI,1.5,43.5,-105,-115,-112,-108,draftkings,2025-09-25T23:15:00Z
4,MIN,PIT,2.5,40.5,105,-125,-118,-102,draftkings,2025-09-28T12:30:00Z
4,WAS,ATL,-2.5,43.5,-110,-110,-108,-112,draftkings,2025-09-28T16:00:00Z
4,NO,BUF,-15.5,48.5,-105,-115,-105,-115,draftkings,2025-09-28T16:00:00Z
4,CLE,DET,-10.0,44.5,-112,-108,-105,-115,draftkings,2025-09-28T16:00:00Z
4,CAR,NE,-5.5,42.5,-105,-115,-112,-108,draftkings,2025-09-28T16:00:00Z
4,LAC,NYG,6.0,43.5,-105,-115,-110,-110,draftkings,2025-09-28T16:00:00Z
4,PHI,TB,3.5,44.5,-118,-102,-102,-118,draftkings,2025-09-28T16:00:00Z
4,TEN,HOU,-7.0,39.5,-118,-102,-115,-105,draftkings,2025-09-28T16:00:00Z
4,IND,LAR,-3.5,49.5,-115,-105,-115,-105,draftkings,2025-09-28T19:05:00Z
4,JAX,SF,-3.5,45.5,100,-120,-112,-108,draftkings,2025-09-28T19:05:00Z
4,BAL,KC,2.5,48.5,100,-120,-120,100,draftkings,2025-09-28T19:25:00Z
4,CHI,LV,-1.5,47.5,-110,-110,-115,-105,draftkings,2025-09-28T19:25:00Z
4,GB,DAL,7.0,47.5,-118,-102,-105,-115,draftkings,2025-09-28T23:20:00Z
