week,away,home,spread,total,commence_time
2,LAC,LV,3.3636363636363638,46.45454545454545,2025-09-16T02:00:00Z
2,MIA,BUF,-9.857142857142858,48.5,2025-09-18T23:16:00Z
2,ATL,CAR,2.5,44.5,2025-09-21T16:01:00Z
2,CIN,MIN,-1.6428571428571428,47.0,2025-09-21T16:01:00Z
2,GB,CLE,7.0,43.0,2025-09-21T16:01:00Z
2,HOU,JAX,-0.6428571428571429,43.4,2025-09-21T16:01:00Z
2,IND,TEN,2.2857142857142856,42.9,2025-09-21T16:01:00Z
2,LV,WAS,-6.285714285714286,47.7,2025-09-21T16:01:00Z
2,LA,PHI,-4.214285714285714,45.4,2025-09-21T16:01:00Z
2,PIT,NE,1.2857142857142858,42.1,2025-09-21T16:01:00Z
2,NYJ,TB,-5.214285714285714,44.2,2025-09-21T16:01:00Z
2,DEN,LAC,-2.2142857142857144,43.5,2025-09-21T19:06:00Z
2,NO,SEA,-6.357142857142857,41.1,2025-09-21T19:06:00Z
2,DAL,CHI,-1.8571428571428572,46.5,2025-09-21T19:26:00Z
2,ARI,SF,-1.5,42.5,2025-09-21T20:25:00Z
2,KC,NYG,5.714285714285714,42.142857142857146,2025-09-21T23:21:00Z
2,DET,BAL,-5.928571428571429,50.642857142857146,2025-09-22T23:16:00Z
3,MIA,BUF,-11.727272727272727,50.36363636363637,2025-09-19T00:15:00Z
3,ATL,CAR,5.363636363636363,43.77272727272727,2025-09-21T17:00:00Z
3,CIN,MIN,-3.0,42.31818181818182,2025-09-21T17:00:00Z
3,GB,CLE,7.681818181818182,41.5,2025-09-21T17:00:00Z
3,HOU,JAX,-1.3181818181818181,43.86363636363637,2025-09-21T17:00:00Z
3,LV,WAS,-3.4545454545454546,44.22727272727273,2025-09-21T17:00:00Z
3,PIT,NE,1.5454545454545454,44.5,2025-09-21T17:00:00Z
3,NYJ,TB,-6.636363636363637,43.59090909090909,2025-09-21T17:00:00Z
3,IND,TEN,4.0,43.5,2025-09-21T17:01:00Z
3,LA,PHI,-3.227272727272727,44.5,2025-09-21T17:01:00Z
3,DEN,LAC,-2.6818181818181817,45.86363636363637,2025-09-21T20:05:00Z
3,NO,SEA,-7.454545454545454,41.54545454545455,2025-09-21T20:05:00Z
3,DAL,CHI,0.6363636363636364,50.5,2025-09-21T20:25:00Z
3,ARI,SF,-2.590909090909091,44.81818181818182,2025-09-21T20:26:00Z
3,KC,NYG,6.045454545454546,45.09090909090909,2025-09-22T00:21:00Z
3,DET,BAL,-4.7272727272727275,52.77272727272727,2025-09-23T00:15:00Z
3,SEA,ARI,-2.375,43.8125,2025-09-26T00:16:00Z
3,MIN,PIT,-1.875,41.25,2025-09-28T13:31:00Z
3,WAS,ATL,1.5,45.9,2025-09-28T17:01:00Z
3,NO,BUF,-14.75,47.625,2025-09-28T17:01:00Z
3,CAR,NE,-5.625,44.4375,2025-09-28T17:01:00Z
3,CLE,DET,-10.0,47.0,2025-09-28T17:01:00Z
3,TEN,HOU,-6.9375,40.5625,2025-09-28T17:01:00Z
3,LAC,NYG,5.6875,45.5,2025-09-28T17:01:00Z
3,PHI,TB,2.625,45.5,2025-09-28T17:01:00Z
3,IND,LA,-4.9375,46.6875,2025-09-28T20:06:00Z
3,JAX,SF,-3.3125,45.3125,2025-09-28T20:06:00Z
3,BAL,KC,2.5,48.5,2025-09-28T20:26:00Z
3,CHI,LV,-2.1875,46.5,2025-09-28T20:26:00Z
3,GB,DAL,5.0,48.8125,2025-09-29T00:21:00Z
