season,week,away,home,away_score,home_score,game_date,game_id
2020,16,SF,ARI,20,12,2020-12-26T21:30Z,401220337
2020,16,MIA,LV,26,25,2020-12-27T01:15Z,401220230
2020,16,ATL,KC,14,17,2020-12-27T18:00Z,401220223
2020,16,CLE,NYJ,16,23,2020-12-27T18:00Z,401220145
2020,16,IND,PIT,24,28,2020-12-27T18:00Z,401220174
2020,16,CHI,JAX,41,17,2020-12-27T18:00Z,401220199
2020,16,NYG,BAL,13,27,2020-12-27T18:00Z,401220152
2020,16,CIN,HOU,37,31,2020-12-27T18:00Z,401220182
2020,16,DEN,LAC,16,19,2020-12-27T21:05Z,401220234
2020,16,CAR,WAS,20,13,2020-12-27T21:05Z,401220273
2020,16,PHI,DAL,17,37,2020-12-27T21:25Z,401220243
2020,16,LAR,SEA,9,20,2020-12-27T21:25Z,401220362
2020,16,TEN,GB,14,40,2020-12-28T01:20Z,401220296
2020,16,BUF,NE,38,9,2020-12-29T01:15Z,401220130
2020,17,MIA,BUF,26,56,2021-01-03T18:00Z,401220114
2020,17,BAL,CIN,38,3,2021-01-03T18:00Z,401220154
2020,17,PIT,CLE,22,24,2021-01-03T18:00Z,401220164
2020,17,MIN,DET,37,35,2021-01-03T18:00Z,401220284
2020,17,NYJ,NE,14,28,2021-01-03T18:00Z,401220132
2020,17,DAL,NYG,19,23,2021-01-03T18:00Z,401220250
2020,17,ATL,TB,27,44,2021-01-03T18:00Z,401220328
2020,17,GB,CHI,35,16,2021-01-03T21:25Z,401220275
2020,17,LV,DEN,32,31,2021-01-03T21:25Z,401220211
2020,17,JAX,IND,14,28,2021-01-03T21:25Z,401220187
2020,17,LAC,KC,38,21,2021-01-03T21:25Z,401220220
2020,17,ARI,LAR,7,18,2021-01-03T21:25Z,401220344
2020,17,SEA,SF,26,23,2021-01-03T21:25Z,401220354
2020,17,NO,CAR,33,7,2021-01-03T21:25Z,401220315
2020,17,TEN,HOU,41,38,2021-01-03T21:25Z,401220180
2020,17,WAS,PHI,20,14,2021-01-04T01:20Z,401220260
2021,1,DAL,TB,29,31,2021-09-10T00:20Z,401326322
2021,1,PHI,ATL,32,6,2021-09-12T17:00Z,401326315
2021,1,PIT,BUF,23,16,2021-09-12T17:00Z,401326308
