week,away,home,spread,total,line_type,timestamp
1,IND,TEN,-1.5,45.5,opening,2025-09-21T17:00:00Z
1,LV,WAS,-7.5,47.5,opening,2025-09-21T17:00:00Z
1,LA,PHI,-4.5,46.5,opening,2025-09-21T17:00:00Z
1,PIT,NE,-1.5,43.5,opening,2025-09-21T17:00:00Z
1,NYJ,TB,-7.5,45.5,opening,2025-09-21T17:00:00Z
1,DEN,LAC,-1.5,44.5,opening,2025-09-21T20:05:00Z
1,NO,SEA,-6.5,43.5,opening,2025-09-21T20:05:00Z
1,ARI,SF,-3.5,47.5,opening,2025-09-21T20:25:00Z
1,DAL,CHI,-3.0,47.5,opening,2025-09-21T20:25:00Z
1,KC,NYG,6.5,43.5,opening,2025-09-22T00:20:00Z
1,DET,BAL,-3.5,49.5,opening,2025-09-23T00:15:00Z
1,SEA,ARI,-2.5,46.5,opening,2025-09-26T00:15:00Z
1,MIN,PIT,1.5,42.5,opening,2025-09-28T13:30:00Z
1,WAS,ATL,3.5,48.5,opening,2025-09-28T17:00:00Z
1,NO,BUF,-12.5,46.5,opening,2025-09-28T17:00:00Z
1,CAR,NE,-3.5,45.5,opening,2025-09-28T17:00:00Z
1,CLE,DET,-10.5,45.5,opening,2025-09-28T17:00:00Z
1,TEN,HOU,-6.0,44.5,opening,2025-09-28T17:00:00Z
1,LAC,NYG,3.5,43.5,opening,2025-09-28T17:00:00Z
1,PHI,TB,2.5,48.5,opening,2025-09-28T17:00:00Z
1,IND,LA,-6.5,46.5,opening,2025-09-28T20:05:00Z
1,JAX,SF,-5.5,48.5,opening,2025-09-28T20:05:00Z
1,BAL,KC,-1.5,48.5,opening,2025-09-28T20:25:00Z
1,CHI,LV,1.5,45.5,opening,2025-09-28T20:25:00Z
1,GB,DAL,2.5,47.5,opening,2025-09-29T00:20:00Z
1,NYJ,MIA,-5.5,44.5,opening,2025-09-29T23:15:00Z
1,CIN,DEN,-2.5,47.5,opening,2025-09-30T00:15:00Z
1,SF,LA,-1.5,47.5,opening,2025-10-03T00:15:00Z
1,MIN,CLE,7.0,41.5,opening,2025-10-05T13:30:00Z
1,HOU,BAL,-7.5,47.5,opening,2025-10-05T17:00:00Z
1,MIA,CAR,1.5,46.5,opening,2025-10-05T17:00:00Z
1,DAL,NYJ,2.5,44.5,opening,2025-10-05T17:00:00Z
