season,week,away,home,spread_line,total_line,gameday,away_score,home_score
2025,18,CLE,CIN,,,2026-01-04,,
2025,18,LAC,DEN,,,2026-01-04,,
2025,18,IND,HOU,,,2026-01-04,,
2025,18,TEN,JAX,,,2026-01-04,,
2025,18,ARI,LAR,,,2026-01-04,,
2025,18,KC,LV,,,2026-01-04,,
2025,18,GB,MIN,,,2026-01-04,,
2025,18,MIA,NE,,,2026-01-04,,
2025,18,DAL,NYG,,,2026-01-04,,
2025,18,WAS,PHI,,,2026-01-04,,
2025,18,BAL,PIT,,,2026-01-04,,
2025,18,SEA,SF,,,2026-01-04,,
2025,18,CAR,TB,,,2026-01-04,,
